YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	11.	15.	0.	15.	0.00	0.00	0.03	0.00	0.16	10.03	10.03	93.42	4.14	7.96	0.00	0.00
2022.	11.	15.	0.	30.	0.00	0.00	0.01	0.00	0.12	10.00	10.00	93.45	3.92	7.62	0.00	0.00
2022.	11.	15.	0.	45.	0.00	0.00	0.00	0.00	0.10	9.94	9.94	93.66	3.87	7.51	0.00	0.00
2022.	11.	15.	1.	0.	0.00	0.00	0.00	0.00	0.10	9.87	9.87	93.88	3.86	7.50	0.00	0.00
2022.	11.	15.	1.	15.	0.00	0.00	0.00	0.00	0.01	9.76	9.76	94.23	3.66	7.18	0.00	0.00
2022.	11.	15.	1.	30.	0.00	0.00	0.00	0.00	0.01	9.67	9.67	94.48	3.56	7.04	0.00	0.00
2022.	11.	15.	1.	45.	0.00	0.00	0.00	0.00	0.01	9.60	9.60	94.55	3.49	6.93	0.00	0.00
2022.	11.	15.	2.	0.	0.00	0.00	0.00	0.00	0.01	9.53	9.53	94.57	3.40	6.77	0.00	0.00
2022.	11.	15.	2.	15.	0.00	0.00	0.00	0.00	0.01	9.44	9.44	94.62	3.28	6.59	0.00	0.00
2022.	11.	15.	2.	30.	0.00	0.00	0.00	0.00	0.01	9.35	9.35	94.58	3.16	6.43	0.00	0.00
2022.	11.	15.	2.	45.	0.00	0.00	0.00	0.00	0.01	9.26	9.26	94.52	3.07	6.31	0.00	0.00
2022.	11.	15.	3.	0.	0.00	0.00	0.00	0.00	0.01	9.16	9.16	94.42	2.95	6.18	0.00	0.00
2022.	11.	15.	3.	15.	0.00	0.00	0.00	0.00	0.01	9.04	9.04	94.36	2.90	6.16	0.00	0.00
2022.	11.	15.	3.	30.	0.00	0.00	0.00	0.00	0.01	8.95	8.95	94.22	2.91	6.22	0.00	0.00
2022.	11.	15.	3.	45.	0.00	0.00	0.00	0.00	0.01	8.87	8.87	94.06	3.02	6.42	0.00	0.00
2022.	11.	15.	4.	0.	0.00	0.00	0.00	0.00	0.01	8.82	8.82	93.81	3.23	6.74	0.00	0.00
2022.	11.	15.	4.	15.	0.00	0.00	0.00	0.00	0.00	8.78	8.78	93.46	3.45	7.03	0.00	0.00
2022.	11.	15.	4.	30.	0.00	0.00	0.00	0.00	0.00	8.71	8.71	93.26	3.46	7.03	0.00	0.00
2022.	11.	15.	4.	45.	0.00	0.00	0.00	0.00	0.00	8.63	8.63	93.12	3.30	6.79	0.00	0.00
