YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	2.	3.	0.	15.	0.00	0.00	1.00	0.10	1.00	6.41	6.41	98.69	2.76	5.53	0.02	0.00
2022.	2.	3.	0.	30.	0.00	0.00	1.00	0.11	1.00	6.51	6.51	98.31	2.99	5.76	0.01	0.00
2022.	2.	3.	0.	45.	0.00	0.00	1.00	0.11	1.00	6.57	6.57	97.81	3.42	6.48	0.00	0.00
2022.	2.	3.	1.	0.	0.00	0.00	1.00	0.11	1.00	6.65	6.65	97.03	3.69	7.01	0.00	0.00
2022.	2.	3.	1.	15.	0.00	0.00	1.00	0.16	0.45	6.59	6.59	96.47	3.83	7.29	0.00	0.00
2022.	2.	3.	1.	30.	0.00	0.00	1.00	0.16	0.45	6.50	6.50	96.32	3.72	7.25	0.00	0.00
2022.	2.	3.	1.	45.	0.00	0.00	1.00	0.16	0.45	6.46	6.46	96.31	3.64	7.13	0.00	0.00
2022.	2.	3.	2.	0.	0.00	0.00	1.00	0.16	0.45	6.36	6.36	96.50	3.53	6.92	0.00	0.00
2022.	2.	3.	2.	15.	0.00	0.00	1.00	0.30	1.00	6.31	6.31	96.77	3.32	6.49	0.00	0.00
2022.	2.	3.	2.	30.	0.00	0.00	1.00	0.30	1.00	6.28	6.28	96.92	3.10	6.04	0.00	0.00
2022.	2.	3.	2.	45.	0.00	0.00	1.00	0.30	1.00	6.22	6.22	97.16	3.07	5.95	0.00	0.00
2022.	2.	3.	3.	0.	0.00	0.00	1.00	0.30	1.00	6.17	6.17	97.48	3.11	5.95	0.00	0.00
2022.	2.	3.	3.	15.	0.00	0.00	1.00	0.20	1.00	6.14	6.14	97.84	3.19	6.02	0.00	0.00
2022.	2.	3.	3.	30.	0.00	0.00	1.00	0.20	1.00	6.12	6.12	98.07	3.28	6.14	0.00	0.00
2022.	2.	3.	3.	45.	0.00	0.00	1.00	0.20	1.00	6.13	6.13	98.06	3.31	6.19	0.00	0.00
2022.	2.	3.	4.	0.	0.00	0.00	1.00	0.20	1.00	6.16	6.16	97.89	3.31	6.19	0.00	0.00
2022.	2.	3.	4.	15.	0.00	0.00	1.00	0.10	1.00	6.18	6.18	97.68	3.33	6.22	0.00	0.00
2022.	2.	3.	4.	30.	0.00	0.00	1.00	0.10	1.00	6.21	6.21	97.37	3.39	6.35	0.00	0.00
2022.	2.	3.	4.	45.	0.00	0.00	1.00	0.10	1.00	6.25	6.25	96.98	3.50	6.60	0.00	0.00
2022.	2.	3.	5.	0.	0.00	0.00	1.00	0.10	1.00	6.33	6.33	96.27	3.83	7.12	0.00	0.00
2022.	2.	3.	5.	15.	0.00	0.00	1.00	0.18	1.00	6.38	6.38	95.64	4.01	7.43	0.00	0.00
2022.	2.	3.	5.	30.	0.00	0.00	1.00	0.18	1.00	6.39	6.39	95.26	3.99	7.45	0.00	0.00
2022.	2.	3.	5.	45.	0.00	0.00	1.00	0.18	1.00	6.38	6.38	95.16	4.01	7.49	0.00	0.00
2022.	2.	3.	6.	0.	0.00	0.00	1.00	0.18	1.00	6.35	6.35	95.33	4.04	7.53	0.00	0.00
2022.	2.	3.	6.	15.	0.00	0.00	1.00	0.29	1.00	6.32	6.32	95.60	4.07	7.58	0.01	0.00
