YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	11.	22.	0.	15.	0.00	0.00	0.45	0.00	0.01	5.95	5.95	92.86	4.50	8.58	0.00	0.00
2022.	11.	22.	0.	30.	0.00	0.00	0.61	0.00	0.00	5.87	5.87	93.07	4.31	8.23	0.00	0.00
2022.	11.	22.	0.	45.	0.00	0.00	0.61	0.00	0.00	5.87	5.87	92.86	4.31	8.24	0.00	0.00
2022.	11.	22.	1.	0.	0.00	0.00	0.84	0.00	0.09	5.93	5.93	92.24	4.46	8.41	0.00	0.00
2022.	11.	22.	1.	15.	0.00	0.00	0.84	0.00	0.09	5.88	5.88	91.97	4.40	8.26	0.00	0.00
2022.	11.	22.	1.	30.	0.00	0.00	0.84	0.00	0.09	5.81	5.81	91.61	4.31	8.08	0.00	0.00
2022.	11.	22.	1.	45.	0.00	0.00	0.56	0.00	0.47	5.84	5.84	90.97	4.27	7.97	0.00	0.00
2022.	11.	22.	2.	0.	0.00	0.00	0.56	0.00	0.47	5.88	5.88	90.41	4.16	7.75	0.00	0.00
2022.	11.	22.	2.	15.	0.00	0.00	0.56	0.00	0.47	5.90	5.90	90.27	4.00	7.50	0.00	0.00
2022.	11.	22.	2.	30.	0.00	0.00	0.20	0.00	0.13	5.79	5.79	90.96	3.90	7.39	0.00	0.00
2022.	11.	22.	2.	45.	0.00	0.00	0.20	0.00	0.13	5.65	5.65	91.64	3.71	7.18	0.00	0.00
2022.	11.	22.	3.	0.	0.00	0.00	0.20	0.00	0.13	5.56	5.56	91.76	3.57	6.99	0.00	0.00
2022.	11.	22.	3.	15.	0.00	0.00	0.00	0.00	0.72	5.61	5.61	91.29	3.57	6.90	0.00	0.00
2022.	11.	22.	3.	30.	0.00	0.00	0.00	0.00	0.72	5.63	5.63	91.42	3.72	7.00	0.00	0.00
2022.	11.	22.	3.	45.	0.00	0.00	0.00	0.00	0.72	5.60	5.60	92.12	3.81	7.07	0.00	0.00
2022.	11.	22.	4.	0.	0.00	0.00	0.00	0.00	1.00	5.60	5.60	92.22	3.81	7.03	0.00	0.00
2022.	11.	22.	4.	15.	0.00	0.00	0.00	0.00	1.00	5.58	5.58	91.92	3.91	7.17	0.00	0.00
2022.	11.	22.	4.	30.	0.00	0.00	0.00	0.00	1.00	5.55	5.55	91.15	4.09	7.48	0.00	0.00
2022.	11.	22.	4.	45.	0.00	0.00	0.00	0.00	1.00	5.54	5.54	89.81	4.32	7.87	0.00	0.00
2022.	11.	22.	5.	0.	0.00	0.00	0.00	0.00	1.00	5.54	5.54	88.27	4.47	8.20	0.00	0.00
2022.	11.	22.	5.	15.	0.00	0.00	0.00	0.00	1.00	5.55	5.55	86.67	4.60	8.48	0.00	0.00
2022.	11.	22.	5.	30.	0.00	0.00	0.00	0.00	0.39	5.43	5.43	85.42	4.86	9.00	0.00	0.00
2022.	11.	22.	5.	45.	0.00	0.00	0.00	0.00	0.39	5.31	5.31	84.71	5.05	9.40	0.00	0.00
2022.	11.	22.	6.	0.	0.00	0.00	0.00	0.00	0.39	5.18	5.18	84.90	5.03	9.38	0.00	0.00
2022.	11.	22.	6.	15.	0.00	0.00	0.00	0.00	0.48	5.04	5.04	85.52	4.80	8.96	0.00	0.00
2022.	11.	22.	6.	30.	0.00	0.00	0.00	0.00	0.48	4.92	4.92	86.10	4.66	8.67	0.00	0.00
2022.	11.	22.	6.	45.	0.00	0.00	0.00	0.00	0.48	4.83	4.83	86.52	4.68	8.67	0.00	0.00
2022.	11.	22.	7.	0.	0.00	0.00	0.00	0.00	0.55	4.77	4.77	86.87	4.72	8.77	0.00	0.00
2022.	11.	22.	7.	15.	0.00	0.00	0.00	0.00	0.55	4.72	4.72	87.31	4.71	8.77	0.00	0.00
2022.	11.	22.	7.	30.	0.00	0.00	0.00	0.00	0.55	4.69	4.69	87.69	4.57	8.55	0.00	0.00
2022.	11.	22.	7.	45.	0.00	0.00	0.00	0.00	0.63	4.70	4.70	87.93	4.40	8.28	0.00	0.00
2022.	11.	22.	8.	0.	0.00	0.00	0.00	0.00	0.63	4.72	4.72	88.22	4.27	8.04	0.00	0.00
2022.	11.	22.	8.	15.	0.00	0.00	0.00	0.00	0.63	4.75	4.75	88.71	4.23	7.97	0.00	0.00
2022.	11.	22.	8.	30.	6.77	119.66	0.00	0.00	1.00	4.84	4.84	89.55	4.37	8.17	0.01	0.00
2022.	11.	22.	8.	45.	10.09	150.86	0.00	0.00	1.00	4.86	4.86	90.57	4.57	8.45	0.01	0.00
2022.	11.	22.	9.	0.	13.42	182.07	0.00	0.00	1.00	4.84	4.84	91.48	4.71	8.69	0.02	0.00
2022.	11.	22.	9.	15.	23.63	241.89	0.00	0.01	1.00	4.83	4.83	91.94	4.84	8.92	0.02	0.00
2022.	11.	22.	9.	30.	24.36	267.63	0.00	0.04	1.00	4.82	4.82	92.19	4.94	9.08	0.02	0.00
2022.	11.	22.	9.	45.	21.78	310.61	0.00	0.07	1.00	4.78	4.78	92.46	4.94	9.06	0.03	0.00
2022.	11.	22.	10.	0.	24.89	340.67	0.00	0.03	1.00	4.77	4.77	92.67	4.90	9.00	0.03	0.00
2022.	11.	22.	10.	15.	26.13	367.70	0.00	0.02	1.00	4.76	4.76	93.25	4.86	8.93	0.04	0.00
2022.	11.	22.	10.	30.	25.60	391.57	0.00	0.01	1.00	4.69	4.69	94.62	4.82	8.86	0.06	0.00
2022.	11.	22.	10.	45.	34.03	412.19	0.00	0.00	1.00	4.63	4.63	96.07	4.81	8.82	0.08	0.00
2022.	11.	22.	11.	0.	40.14	429.47	0.00	0.00	1.00	4.66	4.66	96.23	4.93	9.03	0.06	0.00
2022.	11.	22.	11.	15.	35.88	443.33	0.00	0.00	1.00	4.70	4.70	95.87	5.04	9.23	0.04	0.00
2022.	11.	22.	11.	30.	33.28	453.71	0.00	0.00	1.00	4.75	4.75	95.61	5.07	9.30	0.04	0.00
2022.	11.	22.	11.	45.	31.73	460.57	0.00	0.00	1.00	4.81	4.81	95.55	4.99	9.17	0.03	0.00
2022.	11.	22.	12.	0.	31.24	463.88	0.00	0.00	1.00	4.91	4.91	95.52	4.84	8.91	0.03	0.00
2022.	11.	22.	12.	15.	32.48	463.63	0.00	0.00	1.00	5.04	5.04	95.44	4.77	8.80	0.02	0.00
2022.	11.	22.	12.	30.	35.47	459.81	0.00	0.00	1.00	5.20	5.20	95.23	4.80	8.85	0.02	0.00
2022.	11.	22.	12.	45.	37.87	452.45	0.00	0.00	1.00	5.35	5.35	95.06	4.83	8.90	0.02	0.00
2022.	11.	22.	13.	0.	43.07	441.57	0.00	0.00	1.00	5.50	5.50	94.79	4.86	8.95	0.01	0.00
2022.	11.	22.	13.	15.	48.60	427.22	0.00	0.00	1.00	5.63	5.63	94.44	4.89	9.01	0.01	0.00
2022.	11.	22.	13.	30.	42.13	409.46	0.00	0.00	1.00	5.73	5.73	94.10	4.95	9.09	0.02	0.00
2022.	11.	22.	13.	45.	38.61	388.37	0.00	0.01	1.00	5.82	5.82	93.74	5.10	9.36	0.03	0.00
2022.	11.	22.	14.	0.	40.67	364.04	0.00	0.01	1.00	5.90	5.90	93.61	5.19	9.52	0.03	0.00
2022.	11.	22.	14.	15.	52.31	336.57	0.00	0.00	1.00	5.98	5.98	93.74	5.18	9.49	0.03	0.00
2022.	11.	22.	14.	30.	60.10	306.09	0.00	0.00	1.00	6.07	6.07	93.82	5.10	9.36	0.03	0.00
2022.	11.	22.	14.	45.	40.59	272.71	0.00	0.00	1.00	6.11	6.11	94.01	5.08	9.31	0.04	0.00
2022.	11.	22.	15.	0.	21.24	236.59	0.00	0.00	1.00	6.12	6.12	94.40	4.96	9.11	0.05	0.00
2022.	11.	22.	15.	15.	14.67	197.88	0.00	0.00	1.00	6.15	6.15	94.67	4.98	9.14	0.05	0.00
2022.	11.	22.	15.	30.	11.41	167.32	0.00	0.00	1.00	6.21	6.21	94.70	5.03	9.24	0.04	0.00
2022.	11.	22.	15.	45.	8.14	136.76	0.00	0.00	1.00	6.26	6.26	94.77	5.06	9.30	0.04	0.00
2022.	11.	22.	16.	0.	3.96	67.90	0.00	0.00	1.00	6.31	6.31	94.74	5.07	9.34	0.03	0.00
2022.	11.	22.	16.	15.	0.96	20.58	0.00	0.00	1.00	6.36	6.36	94.67	5.00	9.22	0.02	0.00
2022.	11.	22.	16.	30.	0.96	20.58	0.00	0.00	1.00	6.43	6.43	94.44	5.07	9.35	0.02	0.00
2022.	11.	22.	16.	45.	0.00	0.00	0.00	0.00	0.34	6.39	6.39	94.28	5.13	9.49	0.01	0.00
2022.	11.	22.	17.	0.	0.00	0.00	0.00	0.00	0.34	6.37	6.37	94.33	5.05	9.41	0.01	0.00
2022.	11.	22.	17.	15.	0.00	0.00	0.00	0.00	0.34	6.39	6.39	94.38	5.03	9.37	0.01	0.00
2022.	11.	22.	17.	30.	0.00	0.00	0.00	0.00	0.74	6.47	6.47	94.49	5.01	9.30	0.02	0.00
2022.	11.	22.	17.	45.	0.00	0.00	0.00	0.00	0.74	6.51	6.51	94.62	4.89	9.07	0.02	0.00
2022.	11.	22.	18.	0.	0.00	0.00	0.00	0.00	0.74	6.50	6.50	94.80	4.92	9.07	0.05	0.00
2022.	11.	22.	18.	15.	0.00	0.00	0.00	0.00	0.99	6.55	6.55	94.29	4.92	9.13	0.01	0.00
2022.	11.	22.	18.	30.	0.00	0.00	0.00	0.00	0.99	6.56	6.56	93.97	5.04	9.25	0.04	0.00
2022.	11.	22.	18.	45.	0.00	0.00	0.00	0.00	0.99	6.60	6.60	93.25	5.05	9.38	0.01	0.00
2022.	11.	22.	19.	0.	0.00	0.00	0.00	0.00	1.00	6.62	6.62	92.69	5.14	9.48	0.02	0.00
2022.	11.	22.	19.	15.	0.00	0.00	0.00	0.00	1.00	6.62	6.62	92.21	5.04	9.40	0.00	0.00
2022.	11.	22.	19.	30.	0.00	0.00	0.00	0.00	1.00	6.64	6.64	91.53	5.08	9.47	0.00	0.00
2022.	11.	22.	19.	45.	0.00	0.00	0.00	0.00	1.00	6.60	6.60	91.36	5.11	9.54	0.00	0.00
2022.	11.	22.	20.	0.	0.00	0.00	0.00	0.00	1.00	6.60	6.60	90.74	4.98	9.35	0.00	0.00
