YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	12.	19.	0.	15.	0.00	0.00	1.00	1.00	1.00	2.63	2.63	82.48	4.62	9.29	0.02	0.00
2022.	12.	19.	0.	30.	0.00	0.00	1.00	1.00	1.00	2.75	2.75	83.13	4.69	9.42	0.02	0.00
2022.	12.	19.	0.	45.	0.00	0.00	1.00	1.00	1.00	2.88	2.88	83.91	4.78	9.54	0.03	0.00
2022.	12.	19.	1.	0.	0.00	0.00	1.00	1.00	1.00	2.99	2.99	84.98	4.83	9.62	0.04	0.00
2022.	12.	19.	1.	15.	0.00	0.00	1.00	1.00	1.00	3.06	3.06	86.25	4.89	9.71	0.05	0.00
2022.	12.	19.	1.	30.	0.00	0.00	1.00	1.00	1.00	3.10	3.10	87.54	4.98	9.87	0.06	0.00
2022.	12.	19.	1.	45.	0.00	0.00	1.00	1.00	1.00	3.15	3.15	88.66	5.09	10.08	0.07	0.00
2022.	12.	19.	2.	0.	0.00	0.00	1.00	1.00	1.00	3.20	3.20	89.55	5.20	10.28	0.07	0.00
2022.	12.	19.	2.	15.	0.00	0.00	1.00	1.00	1.00	3.25	3.25	90.37	5.33	10.50	0.08	0.00
2022.	12.	19.	2.	30.	0.00	0.00	1.00	1.00	1.00	3.30	3.30	91.17	5.47	10.77	0.08	0.00
2022.	12.	19.	2.	45.	0.00	0.00	1.00	1.00	1.00	3.35	3.35	92.10	5.64	11.08	0.11	0.00
2022.	12.	19.	3.	0.	0.00	0.00	1.00	1.00	1.00	3.40	3.40	93.42	5.81	11.41	0.16	0.00
2022.	12.	19.	3.	15.	0.00	0.00	1.00	1.00	1.00	3.46	3.46	94.72	5.89	11.56	0.19	0.00
2022.	12.	19.	3.	30.	0.00	0.00	1.00	1.00	1.00	3.58	3.58	95.19	5.95	11.62	0.16	0.00
2022.	12.	19.	3.	45.	0.00	0.00	1.00	1.00	1.00	3.72	3.72	95.05	5.97	11.62	0.13	0.00
2022.	12.	19.	4.	0.	0.00	0.00	1.00	1.00	1.00	3.88	3.88	94.59	5.98	11.62	0.09	0.00
