YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	5.	14.	0.	15.	0.00	0.00	0.00	0.00	0.00	12.74	12.74	60.87	2.01	4.63	0.00	0.00
2022.	5.	14.	0.	30.	0.00	0.00	0.00	0.00	0.00	12.48	12.48	62.38	1.91	4.34	0.00	0.00
2022.	5.	14.	0.	45.	0.00	0.00	0.00	0.00	0.00	11.94	11.94	64.92	1.88	4.13	0.00	0.00
2022.	5.	14.	1.	0.	0.00	0.00	0.00	0.00	0.00	11.39	11.39	67.09	1.95	4.05	0.00	0.00
2022.	5.	14.	1.	15.	0.00	0.00	0.00	0.00	0.00	11.31	11.31	66.82	2.12	4.12	0.00	0.00
2022.	5.	14.	1.	30.	0.00	0.00	0.00	0.00	0.00	11.46	11.46	65.60	2.23	4.30	0.00	0.00
2022.	5.	14.	1.	45.	0.00	0.00	0.00	0.00	0.00	11.52	11.52	64.81	2.33	4.55	0.00	0.00
2022.	5.	14.	2.	0.	0.00	0.00	0.00	0.00	0.00	11.54	11.54	64.75	2.14	4.82	0.00	0.00
2022.	5.	14.	2.	15.	0.00	0.00	0.00	0.00	0.00	11.23	11.23	66.83	1.84	5.03	0.00	0.00
2022.	5.	14.	2.	30.	0.00	0.00	0.00	0.00	0.00	10.45	10.45	70.78	1.89	5.07	0.00	0.00
2022.	5.	14.	2.	45.	0.00	0.00	0.00	0.00	0.00	10.67	10.67	69.62	2.10	5.06	0.00	0.00
2022.	5.	14.	3.	0.	0.00	0.00	0.00	0.00	0.00	11.06	11.06	68.00	2.18	5.04	0.00	0.00
2022.	5.	14.	3.	15.	0.00	0.00	0.00	0.00	0.00	11.03	11.03	68.37	2.23	4.99	0.00	0.00
2022.	5.	14.	3.	30.	0.00	0.00	0.00	0.00	0.00	10.90	10.90	69.25	2.21	4.92	0.00	0.00
2022.	5.	14.	3.	45.	0.00	0.00	0.00	0.00	0.00	10.72	10.72	70.31	2.15	4.87	0.00	0.00
2022.	5.	14.	4.	0.	0.00	0.00	0.00	0.00	0.00	10.54	10.54	71.43	2.09	4.84	0.00	0.00
2022.	5.	14.	4.	15.	0.00	0.00	0.00	0.00	0.00	10.38	10.38	72.45	2.06	4.84	0.00	0.00
2022.	5.	14.	4.	30.	0.00	0.00	0.00	0.00	0.00	10.25	10.25	73.26	2.04	4.86	0.00	0.00
2022.	5.	14.	4.	45.	0.00	0.00	0.00	0.00	0.00	10.11	10.11	74.08	2.04	4.85	0.00	0.00
2022.	5.	14.	5.	0.	0.00	0.00	0.00	0.00	0.00	9.99	9.99	74.80	2.04	4.81	0.00	0.00
2022.	5.	14.	5.	15.	79.46	181.54	0.00	0.00	0.00	10.09	10.09	77.02	1.81	4.71	0.00	0.00
2022.	5.	14.	5.	30.	110.26	228.83	0.00	0.00	0.00	10.28	10.28	78.39	1.65	4.53	0.00	0.00
2022.	5.	14.	5.	45.	141.48	275.23	0.00	0.00	0.00	10.76	10.76	76.62	1.62	3.94	0.00	0.00
2022.	5.	14.	6.	0.	173.06	320.84	0.00	0.00	0.00	11.16	11.16	75.83	1.54	3.39	0.00	0.00
2022.	5.	14.	6.	15.	223.39	390.81	0.00	0.00	0.00	11.56	11.56	75.14	1.57	2.87	0.00	0.00
2022.	5.	14.	6.	30.	262.11	438.19	0.00	0.00	0.00	11.92	11.92	74.48	1.49	2.50	0.00	0.00
2022.	5.	14.	6.	45.	300.02	484.11	0.00	0.00	0.00	12.24	12.24	74.38	1.51	2.44	0.00	0.00
2022.	5.	14.	7.	0.	337.21	528.76	0.00	0.00	0.00	12.52	12.52	74.70	1.55	2.33	0.00	0.00
2022.	5.	14.	7.	15.	393.74	595.68	0.00	0.00	0.00	12.84	12.84	74.05	1.50	2.21	0.00	0.00
2022.	5.	14.	7.	30.	431.38	639.91	0.00	0.00	0.00	13.19	13.19	72.99	1.52	2.20	0.00	0.00
2022.	5.	14.	7.	45.	467.53	682.23	0.00	0.00	0.00	13.58	13.58	71.70	1.55	2.22	0.00	0.00
2022.	5.	14.	8.	0.	502.36	722.87	0.00	0.00	0.00	14.00	14.00	70.34	1.61	2.28	0.00	0.00
2022.	5.	14.	8.	15.	553.37	782.18	0.00	0.00	0.00	14.31	14.31	69.47	1.78	2.51	0.00	0.00
2022.	5.	14.	8.	30.	586.17	820.25	0.00	0.00	0.00	14.51	14.51	69.09	1.99	2.75	0.00	0.00
2022.	5.	14.	8.	45.	617.06	856.08	0.00	0.00	0.00	14.83	14.83	68.17	2.03	2.81	0.00	0.00
2022.	5.	14.	9.	0.	646.27	889.95	0.00	0.00	0.00	15.19	15.19	67.02	1.97	2.73	0.00	0.00
2022.	5.	14.	9.	15.	687.31	937.60	0.01	0.00	0.00	15.54	15.54	65.87	1.88	2.58	0.00	0.00
2022.	5.	14.	9.	30.	712.12	966.92	0.05	0.00	0.00	15.90	15.90	64.72	1.76	2.38	0.00	0.00
2022.	5.	14.	9.	45.	734.74	993.82	0.11	0.00	0.00	16.27	16.27	63.60	1.64	2.17	0.00	0.00
2022.	5.	14.	10.	0.	755.46	1018.61	0.16	0.00	0.00	16.60	16.60	62.39	1.55	2.02	0.00	0.00
2022.	5.	14.	10.	15.	781.94	1051.36	0.28	0.00	0.00	16.79	16.79	61.21	1.55	1.98	0.00	0.00
2022.	5.	14.	10.	30.	796.85	1069.92	0.32	0.00	0.00	16.93	16.93	60.31	1.56	1.96	0.00	0.00
2022.	5.	14.	10.	45.	810.13	1086.06	0.34	0.00	0.00	17.14	17.14	59.71	1.50	1.87	0.00	0.00
2022.	5.	14.	11.	0.	821.97	1100.08	0.34	0.00	0.00	17.38	17.38	59.32	1.42	1.77	0.00	0.00
2022.	5.	14.	11.	15.	835.50	1115.69	0.30	0.00	0.00	17.62	17.62	58.99	1.36	1.68	0.00	0.00
2022.	5.	14.	11.	30.	841.39	1122.24	0.26	0.00	0.00	17.85	17.85	58.61	1.31	1.61	0.00	0.00
2022.	5.	14.	11.	45.	845.51	1126.51	0.21	0.00	0.00	18.09	18.09	58.07	1.28	1.57	0.00	0.00
2022.	5.	14.	12.	0.	848.08	1128.81	0.15	0.00	0.00	18.36	18.36	57.34	1.28	1.58	0.00	0.00
2022.	5.	14.	12.	15.	846.32	1126.22	0.06	0.00	0.00	18.62	18.62	56.45	1.33	1.65	0.00	0.00
2022.	5.	14.	12.	30.	841.27	1120.30	0.03	0.00	0.00	18.85	18.85	55.57	1.41	1.77	0.00	0.00
2022.	5.	14.	12.	45.	834.35	1112.43	0.01	0.00	0.00	19.00	19.00	54.94	1.51	1.88	0.00	0.00
2022.	5.	14.	13.	0.	825.78	1102.84	0.00	0.00	0.00	19.06	19.06	54.74	1.57	1.93	0.00	0.00
2022.	5.	14.	13.	15.	807.10	1082.22	0.00	0.00	0.00	19.10	19.10	54.85	1.59	1.94	0.00	0.00
2022.	5.	14.	13.	30.	790.84	1064.25	0.00	0.00	0.00	19.16	19.16	55.18	1.60	1.93	0.00	0.00
2022.	5.	14.	13.	45.	773.25	1044.75	0.00	0.00	0.00	19.24	19.24	55.61	1.62	1.97	0.00	0.00
2022.	5.	14.	14.	0.	754.50	1023.94	0.00	0.00	0.00	19.35	19.35	55.98	1.70	2.09	0.00	0.00
2022.	5.	14.	14.	15.	721.31	986.71	0.00	0.00	0.00	19.47	19.47	56.25	1.81	2.27	0.00	0.00
2022.	5.	14.	14.	30.	695.95	957.89	0.00	0.00	0.00	19.60	19.60	56.32	1.95	2.49	0.00	0.00
2022.	5.	14.	14.	45.	669.90	928.11	0.00	0.00	0.00	19.70	19.70	56.29	2.10	2.72	0.00	0.00
2022.	5.	14.	15.	0.	643.24	897.48	0.00	0.00	0.00	19.78	19.78	56.21	2.22	2.93	0.00	0.00
2022.	5.	14.	15.	15.	598.96	846.17	0.00	0.00	0.00	19.84	19.84	56.11	2.31	3.12	0.00	0.00
2022.	5.	14.	15.	30.	566.31	808.49	0.00	0.00	0.00	19.90	19.90	55.90	2.38	3.29	0.00	0.00
2022.	5.	14.	15.	45.	533.67	770.45	0.00	0.00	0.00	19.94	19.94	55.64	2.43	3.42	0.00	0.00
2022.	5.	14.	16.	0.	501.04	732.10	0.00	0.00	0.00	19.95	19.95	55.47	2.45	3.52	0.00	0.00
2022.	5.	14.	16.	15.	449.11	670.20	0.00	0.00	0.00	19.94	19.94	55.18	2.45	3.57	0.00	0.00
2022.	5.	14.	16.	30.	412.26	626.22	0.00	0.00	0.00	19.91	19.91	54.85	2.42	3.57	0.00	0.00
2022.	5.	14.	16.	45.	375.85	582.51	0.00	0.00	0.00	19.88	19.88	54.55	2.38	3.56	0.00	0.00
2022.	5.	14.	17.	0.	339.82	539.05	0.00	0.00	0.00	19.82	19.82	54.35	2.36	3.56	0.00	0.00
2022.	5.	14.	17.	15.	283.61	470.79	0.00	0.00	0.00	19.74	19.74	54.28	2.34	3.58	0.00	0.00
2022.	5.	14.	17.	30.	246.80	423.49	0.00	0.00	0.00	19.66	19.66	54.33	2.33	3.62	0.00	0.00
2022.	5.	14.	17.	45.	212.13	377.10	0.00	0.00	0.00	19.54	19.54	54.62	2.33	3.67	0.00	0.00
2022.	5.	14.	18.	0.	179.33	331.49	0.00	0.00	0.00	19.36	19.36	55.18	2.32	3.74	0.00	0.00
2022.	5.	14.	18.	15.	130.71	261.51	0.00	0.00	0.00	19.15	19.15	55.90	2.27	3.73	0.00	0.00
2022.	5.	14.	18.	30.	99.62	214.14	0.00	0.00	0.00	18.90	18.90	56.92	2.17	3.65	0.00	0.00
2022.	5.	14.	18.	45.	70.98	168.22	0.00	0.00	0.00	18.53	18.53	58.77	2.01	3.61	0.00	0.00
2022.	5.	14.	19.	0.	44.48	123.57	0.00	0.00	0.00	17.79	17.79	62.84	1.86	3.62	0.00	0.00
2022.	5.	14.	19.	15.	12.81	56.65	0.00	0.00	0.00	17.33	17.33	65.18	1.82	3.85	0.00	0.00
