YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	10.	1.	0.	15.	0.00	0.00	1.00	1.00	1.00	11.09	11.09	80.92	7.40	13.60	0.15	0.00
2022.	10.	1.	0.	30.	0.00	0.00	1.00	1.00	1.00	10.40	10.40	89.78	6.26	11.43	0.16	0.00
2022.	10.	1.	0.	45.	0.00	0.00	1.00	1.00	1.00	9.98	9.98	94.60	6.56	11.88	0.26	0.00
2022.	10.	1.	1.	0.	0.00	0.00	1.00	1.00	1.00	9.76	9.76	97.28	6.67	12.20	0.33	0.00
2022.	10.	1.	1.	15.	0.00	0.00	1.00	1.00	1.00	9.72	9.72	98.03	6.53	11.99	0.39	0.00
2022.	10.	1.	1.	30.	0.00	0.00	1.00	1.00	1.00	9.75	9.75	98.14	6.45	11.83	0.40	0.00
2022.	10.	1.	1.	45.	0.00	0.00	1.00	1.00	1.00	9.81	9.81	98.08	6.59	12.09	0.38	0.00
2022.	10.	1.	2.	0.	0.00	0.00	1.00	1.00	1.00	9.88	9.88	97.81	6.72	12.36	0.28	0.00
2022.	10.	1.	2.	15.	0.00	0.00	1.00	1.00	1.00	9.95	9.95	97.39	6.85	12.59	0.20	0.00
2022.	10.	1.	2.	30.	0.00	0.00	1.00	1.00	0.99	10.01	10.01	96.86	6.94	12.80	0.13	0.00
2022.	10.	1.	2.	45.	0.00	0.00	1.00	1.00	0.99	10.12	10.12	96.26	7.04	13.03	0.08	0.00
2022.	10.	1.	3.	0.	0.00	0.00	1.00	1.00	0.99	10.26	10.26	95.46	7.09	13.13	0.03	0.00
2022.	10.	1.	3.	15.	0.00	0.00	1.00	1.00	0.49	10.46	10.46	94.55	7.08	13.13	0.02	0.00
2022.	10.	1.	3.	30.	0.00	0.00	1.00	1.00	0.49	10.59	10.59	93.81	7.13	13.25	0.01	0.00
2022.	10.	1.	3.	45.	0.00	0.00	1.00	1.00	0.49	10.64	10.64	93.45	7.06	13.14	0.03	0.00
2022.	10.	1.	4.	0.	0.00	0.00	1.00	1.00	0.03	10.62	10.62	93.42	7.03	13.13	0.01	0.00
2022.	10.	1.	4.	15.	0.00	0.00	1.00	1.00	0.03	10.60	10.60	93.29	7.08	13.26	0.01	0.00
2022.	10.	1.	4.	30.	0.00	0.00	1.00	1.00	0.03	10.60	10.60	93.32	7.07	13.23	0.02	0.00
2022.	10.	1.	4.	45.	0.00	0.00	1.00	1.00	1.00	10.64	10.64	93.52	6.83	12.72	0.01	0.00
2022.	10.	1.	5.	0.	0.00	0.00	1.00	1.00	1.00	10.68	10.68	93.70	7.05	13.12	0.02	0.00
2022.	10.	1.	5.	15.	0.00	0.00	1.00	1.00	1.00	10.70	10.70	93.92	6.90	12.86	0.02	0.00
2022.	10.	1.	5.	30.	0.00	0.00	1.00	0.92	0.00	10.72	10.72	94.00	6.52	12.20	0.01	0.00
2022.	10.	1.	5.	45.	0.00	0.00	1.00	0.92	0.00	10.73	10.73	94.25	6.16	11.47	0.03	0.00
2022.	10.	1.	6.	0.	0.00	0.00	1.00	0.92	0.00	10.80	10.80	94.23	6.27	11.65	0.00	0.00
2022.	10.	1.	6.	15.	0.00	0.00	1.00	0.83	0.48	10.88	10.88	94.42	5.97	11.06	0.01	0.00
