YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	9.	23.	0.	15.	0.00	0.00	1.00	0.00	0.00	11.02	11.02	59.96	2.30	5.16	0.00	0.00
2022.	9.	23.	0.	30.	0.00	0.00	1.00	0.00	0.00	10.92	10.92	60.29	2.12	5.03	0.00	0.00
2022.	9.	23.	0.	45.	0.00	0.00	1.00	0.00	0.00	10.83	10.83	60.54	2.08	4.93	0.00	0.00
2022.	9.	23.	1.	0.	0.00	0.00	1.00	0.00	0.00	10.82	10.82	60.39	2.08	4.78	0.00	0.00
2022.	9.	23.	1.	15.	0.00	0.00	1.00	0.00	0.00	10.84	10.84	60.07	2.01	4.58	0.00	0.00
2022.	9.	23.	1.	30.	0.00	0.00	1.00	0.00	0.00	10.90	10.90	59.67	1.99	4.38	0.00	0.00
2022.	9.	23.	1.	45.	0.00	0.00	1.00	0.00	0.00	11.01	11.01	59.11	2.05	4.19	0.00	0.00
2022.	9.	23.	2.	0.	0.00	0.00	1.00	0.00	0.00	11.20	11.20	58.24	2.18	4.15	0.00	0.00
2022.	9.	23.	2.	15.	0.00	0.00	0.09	0.00	0.00	11.09	11.09	58.35	2.35	4.26	0.00	0.00
2022.	9.	23.	2.	30.	0.00	0.00	0.09	0.00	0.00	10.89	10.89	58.71	2.50	4.45	0.00	0.00
2022.	9.	23.	2.	45.	0.00	0.00	0.09	0.00	0.00	10.61	10.61	59.52	2.56	4.70	0.00	0.00
2022.	9.	23.	3.	0.	0.00	0.00	0.09	0.00	0.00	10.37	10.37	60.23	2.53	4.99	0.00	0.00
2022.	9.	23.	3.	15.	0.00	0.00	0.34	0.00	0.00	10.22	10.22	60.77	2.42	5.31	0.00	0.00
2022.	9.	23.	3.	30.	0.00	0.00	0.34	0.00	0.00	10.22	10.22	60.76	2.26	5.56	0.00	0.00
2022.	9.	23.	3.	45.	0.00	0.00	0.34	0.00	0.00	10.17	10.17	60.93	2.18	5.69	0.00	0.00
2022.	9.	23.	4.	0.	0.00	0.00	0.34	0.00	0.00	10.01	10.01	61.62	2.16	5.79	0.00	0.00
2022.	9.	23.	4.	15.	0.00	0.00	0.21	0.00	0.00	9.77	9.77	62.60	2.16	5.83	0.00	0.00
2022.	9.	23.	4.	30.	0.00	0.00	0.21	0.00	0.00	9.66	9.66	63.15	2.22	5.76	0.00	0.00
2022.	9.	23.	4.	45.	0.00	0.00	0.21	0.00	0.00	9.67	9.67	63.36	2.27	5.75	0.00	0.00
2022.	9.	23.	5.	0.	0.00	0.00	0.21	0.00	0.00	9.65	9.65	63.57	2.37	5.82	0.00	0.00
2022.	9.	23.	5.	15.	0.00	0.00	0.04	0.00	0.00	9.56	9.56	63.97	2.50	5.91	0.00	0.00
2022.	9.	23.	5.	30.	0.00	0.00	0.04	0.00	0.00	9.38	9.38	64.65	2.61	6.00	0.00	0.00
2022.	9.	23.	5.	45.	0.00	0.00	0.04	0.00	0.00	9.18	9.18	65.46	2.63	6.09	0.00	0.00
2022.	9.	23.	6.	0.	0.00	0.00	0.04	0.00	0.00	9.05	9.05	66.25	2.62	6.18	0.00	0.00
2022.	9.	23.	6.	15.	12.56	57.67	0.58	0.00	0.00	8.80	8.80	68.57	2.39	6.25	0.00	0.00
2022.	9.	23.	6.	30.	12.56	57.67	0.58	0.00	0.00	8.75	8.75	70.35	2.08	6.30	0.00	0.00
2022.	9.	23.	6.	45.	49.07	169.04	1.00	0.00	0.00	8.69	8.69	73.29	1.90	6.34	0.00	0.00
2022.	9.	23.	7.	0.	49.07	169.04	1.00	0.00	0.00	8.78	8.78	74.78	1.77	6.39	0.00	0.00
2022.	9.	23.	7.	15.	98.94	277.57	1.00	0.00	0.00	8.99	8.99	76.95	1.68	6.44	0.00	0.00
2022.	9.	23.	7.	30.	127.32	325.20	1.00	0.00	0.00	9.42	9.42	77.24	1.63	6.39	0.00	0.00
2022.	9.	23.	7.	45.	157.23	370.81	0.97	0.00	0.00	9.92	9.92	76.99	1.57	6.12	0.00	0.00
2022.	9.	23.	8.	0.	188.48	414.66	0.91	0.00	0.00	10.51	10.51	75.62	1.67	5.57	0.00	0.00
2022.	9.	23.	8.	15.	241.56	478.76	0.68	0.00	0.00	11.08	11.08	74.06	1.80	5.05	0.00	0.00
2022.	9.	23.	8.	30.	280.52	520.00	0.54	0.00	0.00	11.64	11.64	73.19	1.81	4.78	0.00	0.00
2022.	9.	23.	8.	45.	315.29	558.86	0.49	0.00	0.00	12.32	12.32	70.27	2.09	4.44	0.00	0.00
2022.	9.	23.	9.	0.	346.41	595.64	0.52	0.00	0.00	12.90	12.90	67.63	2.23	3.99	0.00	0.00
2022.	9.	23.	9.	15.	391.12	647.53	0.53	0.00	0.00	13.37	13.37	66.79	2.07	3.60	0.00	0.00
2022.	9.	23.	9.	30.	416.65	679.57	0.54	0.00	0.00	13.81	13.81	66.39	1.90	3.24	0.00	0.00
2022.	9.	23.	9.	45.	437.50	709.03	0.57	0.01	0.00	14.29	14.29	65.53	1.76	2.93	0.00	0.00
2022.	9.	23.	10.	0.	454.25	736.24	0.62	0.01	0.00	14.80	14.80	63.95	1.65	2.69	0.00	0.00
2022.	9.	23.	10.	15.	463.78	772.38	0.67	0.01	0.00	15.36	15.36	60.63	1.58	2.53	0.00	0.00
2022.	9.	23.	10.	30.	473.27	793.03	0.90	0.01	0.00	15.84	15.84	57.04	1.59	2.50	0.00	0.00
2022.	9.	23.	10.	45.	481.26	811.08	1.00	0.01	0.00	16.21	16.21	53.52	1.68	2.55	0.00	0.00
2022.	9.	23.	11.	0.	487.95	826.87	1.00	0.01	0.00	16.55	16.55	52.05	1.67	2.52	0.00	0.00
2022.	9.	23.	11.	15.	474.46	844.79	1.00	0.00	0.00	16.85	16.85	51.47	1.64	2.45	0.00	0.00
2022.	9.	23.	11.	30.	460.65	852.65	1.00	0.01	0.00	17.03	17.03	50.36	1.66	2.41	0.00	0.00
2022.	9.	23.	11.	45.	439.59	858.07	1.00	0.01	0.00	17.12	17.12	49.21	1.68	2.39	0.00	0.00
2022.	9.	23.	12.	0.	412.17	861.35	1.00	0.02	0.00	17.24	17.24	49.09	1.61	2.33	0.00	0.00
2022.	9.	23.	12.	15.	358.57	859.84	1.00	0.07	0.00	17.33	17.33	49.20	1.56	2.28	0.00	0.00
2022.	9.	23.	12.	30.	339.00	854.37	1.00	0.10	0.00	17.36	17.36	48.99	1.60	2.33	0.00	0.00
2022.	9.	23.	12.	45.	324.12	846.78	1.00	0.11	0.00	17.36	17.36	48.66	1.67	2.41	0.00	0.00
2022.	9.	23.	13.	0.	313.34	837.34	1.00	0.12	0.00	17.39	17.39	48.73	1.63	2.38	0.00	0.00
2022.	9.	23.	13.	15.	300.93	816.50	1.00	0.13	0.00	17.45	17.45	48.93	1.54	2.28	0.00	0.00
