YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	1.	3.	0.	15.	0.00	0.00	0.01	0.00	0.23	8.52	8.52	93.02	5.83	10.86	0.01	0.00
2022.	1.	3.	0.	30.	0.00	0.00	0.00	0.00	0.75	8.50	8.50	93.12	5.94	11.04	0.01	0.00
2022.	1.	3.	0.	45.	0.00	0.00	0.00	0.00	1.00	8.55	8.55	92.76	5.88	10.93	0.01	0.00
2022.	1.	3.	1.	0.	0.00	0.00	0.00	0.00	1.00	8.53	8.53	92.69	5.81	10.82	0.02	0.00
2022.	1.	3.	1.	15.	0.00	0.00	0.02	0.00	0.96	8.48	8.48	93.09	5.73	10.65	0.02	0.00
2022.	1.	3.	1.	30.	0.00	0.00	0.02	0.00	0.96	8.46	8.46	93.13	5.72	10.58	0.02	0.00
2022.	1.	3.	1.	45.	0.00	0.00	0.02	0.00	0.96	8.44	8.44	92.69	5.87	10.83	0.02	0.00
2022.	1.	3.	2.	0.	0.00	0.00	0.02	0.00	0.96	8.42	8.42	92.21	6.04	11.19	0.01	0.00
2022.	1.	3.	2.	15.	0.00	0.00	0.00	0.01	1.00	8.41	8.41	91.85	6.02	11.20	0.01	0.00
2022.	1.	3.	2.	30.	0.00	0.00	0.00	0.01	1.00	8.37	8.37	92.21	5.77	10.80	0.01	0.00
2022.	1.	3.	2.	45.	0.00	0.00	0.00	0.01	1.00	8.29	8.29	92.85	5.51	10.31	0.01	0.00
2022.	1.	3.	3.	0.	0.00	0.00	0.00	0.01	1.00	8.20	8.20	93.89	5.23	9.76	0.01	0.00
2022.	1.	3.	3.	15.	0.00	0.00	0.02	0.01	0.09	8.04	8.04	94.47	5.09	9.48	0.02	0.00
2022.	1.	3.	3.	30.	0.00	0.00	0.02	0.01	0.09	7.98	7.98	94.30	5.10	9.51	0.01	0.00
2022.	1.	3.	3.	45.	0.00	0.00	0.02	0.01	0.09	7.98	7.98	94.05	5.20	9.70	0.02	0.00
2022.	1.	3.	4.	0.	0.00	0.00	0.02	0.01	0.09	7.99	7.99	93.59	5.31	9.93	0.01	0.00
2022.	1.	3.	4.	15.	0.00	0.00	0.01	0.00	0.02	7.97	7.97	92.98	5.26	9.89	0.00	0.00
2022.	1.	3.	4.	30.	0.00	0.00	0.01	0.00	0.02	7.93	7.93	92.55	5.15	9.73	0.00	0.00
