YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	12.	1.	0.	15.	0.00	0.00	0.00	0.00	1.00	3.83	3.83	99.81	2.01	3.68	0.02	0.00
2022.	12.	1.	0.	30.	0.00	0.00	0.00	0.00	1.00	3.83	3.83	99.78	2.06	3.73	0.01	0.00
2022.	12.	1.	0.	45.	0.00	0.00	0.00	0.00	1.00	3.84	3.84	99.64	2.20	3.96	0.01	0.00
2022.	12.	1.	1.	0.	0.00	0.00	0.00	0.00	1.00	3.81	3.81	99.54	2.31	4.13	0.01	0.00
2022.	12.	1.	1.	15.	0.00	0.00	0.00	0.00	1.00	3.75	3.75	99.54	2.38	4.25	0.01	0.00
2022.	12.	1.	1.	30.	0.00	0.00	0.00	0.00	1.00	3.68	3.68	99.55	2.42	4.32	0.01	0.00
2022.	12.	1.	1.	45.	0.00	0.00	0.00	0.00	1.00	3.62	3.62	99.57	2.41	4.32	0.01	0.00
2022.	12.	1.	2.	0.	0.00	0.00	0.00	0.00	1.00	3.56	3.56	99.59	2.41	4.31	0.00	0.00
2022.	12.	1.	2.	15.	0.00	0.00	0.00	0.00	1.00	3.51	3.51	99.60	2.43	4.34	0.01	0.00
2022.	12.	1.	2.	30.	0.00	0.00	0.00	0.00	1.00	3.46	3.46	99.63	2.48	4.39	0.01	0.00
2022.	12.	1.	2.	45.	0.00	0.00	0.00	0.00	1.00	3.41	3.41	99.65	2.46	4.36	0.01	0.00
2022.	12.	1.	3.	0.	0.00	0.00	0.00	0.00	1.00	3.38	3.38	99.66	2.41	4.31	0.01	0.00
2022.	12.	1.	3.	15.	0.00	0.00	0.00	0.00	1.00	3.36	3.36	99.65	2.42	4.32	0.01	0.00
2022.	12.	1.	3.	30.	0.00	0.00	0.00	0.00	1.00	3.36	3.36	99.62	2.46	4.41	0.01	0.00
2022.	12.	1.	3.	45.	0.00	0.00	0.00	0.00	1.00	3.36	3.36	99.62	2.55	4.57	0.01	0.00
2022.	12.	1.	4.	0.	0.00	0.00	0.00	0.00	1.00	3.36	3.36	99.63	2.59	4.67	0.01	0.00
2022.	12.	1.	4.	15.	0.00	0.00	0.00	0.00	1.00	3.34	3.34	99.60	2.57	4.64	0.01	0.00
2022.	12.	1.	4.	30.	0.00	0.00	0.00	0.00	1.00	3.31	3.31	99.52	2.50	4.56	0.01	0.00
2022.	12.	1.	4.	45.	0.00	0.00	0.00	0.00	1.00	3.28	3.28	99.51	2.47	4.54	0.01	0.00
2022.	12.	1.	5.	0.	0.00	0.00	0.00	0.00	1.00	3.29	3.29	99.49	2.50	4.63	0.01	0.00
2022.	12.	1.	5.	15.	0.00	0.00	0.00	0.00	1.00	3.31	3.31	99.46	2.57	4.75	0.01	0.00
2022.	12.	1.	5.	30.	0.00	0.00	0.00	0.00	1.00	3.34	3.34	99.39	2.64	4.88	0.01	0.00
2022.	12.	1.	5.	45.	0.00	0.00	0.00	0.00	1.00	3.34	3.34	99.39	2.67	4.94	0.01	0.00
2022.	12.	1.	6.	0.	0.00	0.00	0.00	0.00	1.00	3.30	3.30	99.46	2.60	4.84	0.01	0.00
2022.	12.	1.	6.	15.	0.00	0.00	0.00	0.00	1.00	3.24	3.24	99.54	2.46	4.64	0.01	0.00
2022.	12.	1.	6.	30.	0.00	0.00	0.00	0.00	1.00	3.15	3.15	99.62	2.26	4.34	0.01	0.00
2022.	12.	1.	6.	45.	0.00	0.00	0.00	0.00	1.00	3.05	3.05	99.71	2.10	4.09	0.01	0.00
2022.	12.	1.	7.	0.	0.00	0.00	0.00	0.00	1.00	2.98	2.98	99.72	2.04	3.99	0.01	0.00
2022.	12.	1.	7.	15.	0.00	0.00	0.00	0.00	1.00	2.92	2.92	99.73	2.02	3.94	0.01	0.00
2022.	12.	1.	7.	30.	0.00	0.00	0.00	0.00	1.00	2.87	2.87	99.73	2.05	3.94	0.01	0.00
2022.	12.	1.	7.	45.	0.00	0.00	0.00	0.00	1.00	2.78	2.78	99.77	2.07	3.95	0.01	0.00
2022.	12.	1.	8.	0.	0.00	0.00	0.00	0.00	1.00	2.70	2.70	99.81	2.05	3.86	0.01	0.00
2022.	12.	1.	8.	15.	2.19	48.46	0.00	0.00	1.00	2.66	2.66	99.89	1.97	3.71	0.01	0.00
2022.	12.	1.	8.	30.	2.19	48.46	0.00	0.00	1.00	2.66	2.66	99.90	1.92	3.62	0.01	0.00
2022.	12.	1.	8.	45.	6.00	87.99	0.00	0.00	1.00	2.72	2.72	99.95	1.97	3.69	0.01	0.00
2022.	12.	1.	9.	0.	13.14	162.13	0.00	0.00	1.00	2.83	2.83	99.93	2.04	3.73	0.01	0.00
2022.	12.	1.	9.	15.	18.03	212.76	0.00	0.00	1.00	2.95	2.95	99.92	2.03	3.69	0.01	0.00
2022.	12.	1.	9.	30.	18.03	212.76	0.00	0.00	1.00	3.07	3.07	99.95	2.04	3.69	0.01	0.00
2022.	12.	1.	9.	45.	23.65	286.74	0.00	0.00	1.00	3.20	3.20	99.96	2.03	3.69	0.01	0.00
2022.	12.	1.	10.	0.	24.15	299.68	0.00	0.00	1.00	3.33	3.33	99.97	2.02	3.67	0.01	0.00
2022.	12.	1.	10.	15.	24.96	335.31	0.00	0.00	1.00	3.46	3.46	99.95	2.05	3.71	0.01	0.00
2022.	12.	1.	10.	30.	25.76	355.79	0.00	0.00	1.00	3.56	3.56	99.91	2.12	3.82	0.01	0.00
2022.	12.	1.	10.	45.	27.23	373.76	0.00	0.00	1.00	3.65	3.65	99.85	2.21	3.99	0.01	0.00
2022.	12.	1.	11.	0.	29.29	389.55	0.00	0.00	1.00	3.75	3.75	99.73	2.34	4.19	0.01	0.00
2022.	12.	1.	11.	15.	33.67	407.76	0.00	0.00	1.00	3.84	3.84	99.62	2.50	4.42	0.01	0.00
2022.	12.	1.	11.	30.	36.74	415.98	0.00	0.00	1.00	3.89	3.89	99.48	2.62	4.64	0.01	0.00
2022.	12.	1.	11.	45.	39.81	421.84	0.00	0.00	1.00	3.92	3.92	99.27	2.71	4.81	0.01	0.00
2022.	12.	1.	12.	0.	42.90	425.63	0.00	0.00	1.00	3.92	3.92	99.09	2.75	4.91	0.00	0.00
2022.	12.	1.	12.	15.	47.68	425.17	0.00	0.00	1.00	3.91	3.91	98.92	2.75	4.96	0.00	0.00
2022.	12.	1.	12.	30.	49.82	420.57	0.00	0.00	1.00	3.91	3.91	98.72	2.76	5.00	0.00	0.00
2022.	12.	1.	12.	45.	50.22	413.91	0.00	0.00	1.00	3.93	3.93	98.51	2.79	5.03	0.00	0.00
2022.	12.	1.	13.	0.	49.10	405.46	0.00	0.00	1.00	3.97	3.97	98.46	2.83	5.06	0.00	0.00
2022.	12.	1.	13.	15.	41.89	386.36	0.00	0.00	1.00	3.98	3.98	98.63	2.86	5.09	0.00	0.00
2022.	12.	1.	13.	30.	37.80	369.25	0.00	0.00	1.00	3.97	3.97	98.77	2.88	5.12	0.01	0.00
2022.	12.	1.	13.	45.	33.88	350.53	0.00	0.00	1.00	3.96	3.96	98.89	2.88	5.12	0.01	0.00
2022.	12.	1.	14.	0.	30.11	330.40	0.00	0.00	1.00	3.95	3.95	99.00	2.87	5.11	0.01	0.00
2022.	12.	1.	14.	15.	25.65	293.96	0.00	0.00	1.00	3.92	3.92	99.02	2.84	5.09	0.01	0.00
2022.	12.	1.	14.	30.	22.19	265.52	0.00	0.00	1.00	3.88	3.88	99.04	2.77	5.03	0.01	0.00
2022.	12.	1.	14.	45.	18.49	236.02	0.00	0.00	1.00	3.81	3.81	99.14	2.72	4.99	0.01	0.00
2022.	12.	1.	15.	0.	14.60	205.57	0.00	0.00	1.00	3.71	3.71	99.27	2.66	4.94	0.01	0.00
2022.	12.	1.	15.	15.	8.85	154.29	0.00	0.00	1.00	3.59	3.59	99.53	2.59	4.89	0.01	0.00
