YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	11.	4.	0.	15.	0.00	0.00	0.55	0.00	0.00	8.91	8.91	92.23	4.43	8.36	0.00	0.00
2022.	11.	4.	0.	30.	0.00	0.00	0.41	0.00	0.01	8.82	8.82	91.99	4.37	8.25	0.00	0.00
2022.	11.	4.	0.	45.	0.00	0.00	0.35	0.00	0.01	8.74	8.74	91.91	4.25	8.08	0.00	0.00
2022.	11.	4.	1.	0.	0.00	0.00	0.35	0.00	0.01	8.66	8.66	91.98	4.21	7.98	0.00	0.00
2022.	11.	4.	1.	15.	0.00	0.00	0.08	0.00	0.00	8.56	8.56	92.20	4.02	7.65	0.00	0.00
2022.	11.	4.	1.	30.	0.00	0.00	0.08	0.00	0.00	8.44	8.44	92.68	3.70	7.15	0.00	0.00
2022.	11.	4.	1.	45.	0.00	0.00	0.08	0.00	0.00	8.36	8.36	93.19	3.47	6.81	0.00	0.00
2022.	11.	4.	2.	0.	0.00	0.00	0.08	0.00	0.00	8.27	8.27	93.75	3.30	6.51	0.00	0.00
2022.	11.	4.	2.	15.	0.00	0.00	0.00	0.00	0.14	8.21	8.21	94.13	3.44	6.71	0.00	0.00
2022.	11.	4.	2.	30.	0.00	0.00	0.00	0.00	0.14	8.16	8.16	94.09	3.36	6.59	0.00	0.00
2022.	11.	4.	2.	45.	0.00	0.00	0.00	0.00	0.14	8.09	8.09	94.05	3.19	6.42	0.00	0.00
2022.	11.	4.	3.	0.	0.00	0.00	0.00	0.00	0.14	8.03	8.03	93.98	3.00	6.23	0.00	0.00
2022.	11.	4.	3.	15.	0.00	0.00	0.00	0.00	0.89	8.13	8.13	93.79	2.74	5.88	0.00	0.00
2022.	11.	4.	3.	30.	0.00	0.00	0.00	0.00	0.89	8.24	8.24	93.19	2.91	6.14	0.00	0.00
2022.	11.	4.	3.	45.	0.00	0.00	0.00	0.00	0.89	8.26	8.26	92.73	2.84	6.03	0.00	0.00
2022.	11.	4.	4.	0.	0.00	0.00	0.00	0.00	0.89	8.24	8.24	92.58	2.77	5.93	0.00	0.00
2022.	11.	4.	4.	15.	0.00	0.00	0.00	0.00	0.06	8.06	8.06	93.10	2.74	5.77	0.00	0.00
