YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	6.	25.	0.	15.	0.00	0.00	0.00	0.00	0.00	17.80	17.80	76.05	3.79	7.28	0.00	0.00
2022.	6.	25.	0.	30.	0.00	0.00	0.00	0.00	0.00	17.76	17.76	76.49	3.75	7.18	0.00	0.00
2022.	6.	25.	0.	45.	0.00	0.00	0.00	0.00	0.00	17.64	17.64	77.82	3.69	7.01	0.00	0.00
2022.	6.	25.	1.	0.	0.00	0.00	0.00	0.00	0.00	17.47	17.47	79.35	3.54	6.71	0.00	0.00
2022.	6.	25.	1.	15.	0.00	0.00	0.00	0.00	0.00	17.21	17.21	81.36	3.29	6.32	0.00	0.00
2022.	6.	25.	1.	30.	0.00	0.00	0.00	0.00	0.00	16.98	16.98	82.99	3.11	6.11	0.00	0.00
2022.	6.	25.	1.	45.	0.00	0.00	0.00	0.00	0.00	16.91	16.91	83.49	3.30	6.38	0.00	0.00
2022.	6.	25.	2.	0.	0.00	0.00	0.00	0.00	0.00	16.83	16.83	83.83	3.34	6.43	0.00	0.00
2022.	6.	25.	2.	15.	0.00	0.00	0.00	0.00	0.00	16.69	16.69	84.55	3.21	6.26	0.00	0.00
2022.	6.	25.	2.	30.	0.00	0.00	0.00	0.00	0.00	16.59	16.59	84.84	3.31	6.42	0.00	0.00
2022.	6.	25.	2.	45.	0.00	0.00	0.00	0.00	0.00	16.51	16.51	84.81	3.25	6.33	0.00	0.00
2022.	6.	25.	3.	0.	0.00	0.00	0.00	0.00	0.00	16.39	16.39	85.11	3.02	6.00	0.00	0.00
2022.	6.	25.	3.	15.	0.00	0.00	0.14	0.01	0.00	16.29	16.29	85.31	2.92	5.87	0.00	0.00
2022.	6.	25.	3.	30.	0.00	0.00	0.14	0.01	0.00	16.20	16.20	85.41	2.80	5.70	0.00	0.00
2022.	6.	25.	3.	45.	0.00	0.00	0.14	0.01	0.00	16.09	16.09	85.68	2.63	5.47	0.00	0.00
2022.	6.	25.	4.	0.	0.00	0.00	0.14	0.01	0.00	15.99	15.99	86.01	2.47	5.27	0.00	0.00
2022.	6.	25.	4.	15.	16.47	93.16	1.00	1.00	0.00	16.08	16.08	85.97	2.33	5.07	0.00	0.00
2022.	6.	25.	4.	30.	16.47	93.16	1.00	1.00	0.00	16.21	16.21	85.47	2.28	4.72	0.00	0.00
2022.	6.	25.	4.	45.	42.57	198.70	0.99	1.00	0.00	16.30	16.30	85.51	2.22	4.56	0.00	0.00
2022.	6.	25.	5.	0.	49.02	219.79	0.98	1.00	0.00	16.43	16.43	85.20	2.22	4.44	0.00	0.00
2022.	6.	25.	5.	15.	77.10	285.45	0.53	1.00	0.00	16.58	16.58	84.70	2.26	4.36	0.00	0.00
2022.	6.	25.	5.	30.	103.79	330.84	0.28	1.00	0.00	16.77	16.77	83.92	2.35	4.41	0.00	0.00
2022.	6.	25.	5.	45.	133.41	375.31	0.11	1.00	0.00	17.02	17.02	82.70	2.55	4.59	0.00	0.00
2022.	6.	25.	6.	0.	165.59	418.98	0.01	1.00	0.00	17.29	17.29	81.08	2.93	5.11	0.00	0.00
2022.	6.	25.	6.	15.	227.35	485.83	0.00	0.85	0.01	17.52	17.52	79.24	3.37	5.67	0.00	0.00
2022.	6.	25.	6.	30.	287.13	530.98	0.00	0.48	0.00	17.73	17.73	77.47	3.51	5.84	0.00	0.00
2022.	6.	25.	6.	45.	342.41	574.70	0.00	0.20	0.00	17.97	17.97	76.15	3.41	5.67	0.00	0.00
