YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	10.	10.	0.	15.	0.00	0.00	0.00	0.00	0.00	10.51	10.51	72.89	1.82	5.97	0.00	0.00
2022.	10.	10.	0.	30.	0.00	0.00	0.00	0.00	0.00	10.08	10.08	74.98	1.82	5.64	0.00	0.00
2022.	10.	10.	0.	45.	0.00	0.00	0.00	0.00	0.00	10.17	10.17	74.60	1.92	5.55	0.00	0.00
2022.	10.	10.	1.	0.	0.00	0.00	0.00	0.00	0.00	10.12	10.12	75.01	1.99	5.63	0.00	0.00
2022.	10.	10.	1.	15.	0.00	0.00	0.00	0.00	0.00	10.04	10.04	75.63	2.00	5.82	0.00	0.00
2022.	10.	10.	1.	30.	0.00	0.00	0.00	0.00	0.00	10.04	10.04	75.98	2.06	6.03	0.00	0.00
2022.	10.	10.	1.	45.	0.00	0.00	0.00	0.00	0.00	10.04	10.04	76.39	2.15	6.21	0.00	0.00
2022.	10.	10.	2.	0.	0.00	0.00	0.00	0.00	0.00	10.03	10.03	76.86	2.26	6.39	0.00	0.00
2022.	10.	10.	2.	15.	0.00	0.00	0.00	0.00	0.00	9.91	9.91	77.59	2.40	6.58	0.00	0.00
2022.	10.	10.	2.	30.	0.00	0.00	0.00	0.00	0.00	9.53	9.53	80.17	2.06	6.66	0.00	0.00
2022.	10.	10.	2.	45.	0.00	0.00	0.00	0.00	0.00	9.46	9.46	81.22	2.03	6.58	0.00	0.00
2022.	10.	10.	3.	0.	0.00	0.00	0.00	0.00	0.00	9.50	9.50	81.45	2.13	6.52	0.00	0.00
2022.	10.	10.	3.	15.	0.00	0.00	0.00	0.00	0.00	9.58	9.58	81.35	2.26	6.52	0.00	0.00
2022.	10.	10.	3.	30.	0.00	0.00	0.00	0.00	0.00	9.66	9.66	81.31	2.32	6.49	0.00	0.00
2022.	10.	10.	3.	45.	0.00	0.00	0.00	0.00	0.00	9.71	9.71	81.45	2.33	6.42	0.00	0.00
2022.	10.	10.	4.	0.	0.00	0.00	0.00	0.00	0.00	9.69	9.69	81.88	2.34	6.38	0.00	0.00
2022.	10.	10.	4.	15.	0.00	0.00	0.00	0.00	0.00	9.65	9.65	82.39	2.39	6.43	0.00	0.00
2022.	10.	10.	4.	30.	0.00	0.00	0.00	0.00	0.00	9.63	9.63	82.85	2.47	6.55	0.00	0.00
2022.	10.	10.	4.	45.	0.00	0.00	0.00	0.00	0.00	9.62	9.62	83.27	2.53	6.69	0.00	0.00
2022.	10.	10.	5.	0.	0.00	0.00	0.00	0.00	0.00	9.62	9.62	83.65	2.59	6.86	0.00	0.00
2022.	10.	10.	5.	15.	0.00	0.00	0.00	0.00	0.00	9.69	9.69	83.73	2.72	7.02	0.00	0.00
2022.	10.	10.	5.	30.	0.00	0.00	0.00	0.00	0.00	9.83	9.83	83.51	2.88	7.06	0.00	0.00
2022.	10.	10.	5.	45.	0.00	0.00	0.00	0.00	0.00	9.92	9.92	83.49	2.96	6.99	0.00	0.00
