YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	8.	23.	0.	15.	0.00	0.00	0.00	0.00	0.00	17.04	17.04	65.35	2.24	4.65	0.00	0.00
2022.	8.	23.	0.	30.	0.00	0.00	0.00	0.00	0.00	17.07	17.07	65.12	2.42	4.42	0.00	0.00
2022.	8.	23.	0.	45.	0.00	0.00	0.00	0.00	0.00	17.25	17.25	64.40	2.54	4.25	0.00	0.00
2022.	8.	23.	1.	0.	0.00	0.00	0.00	0.00	0.00	17.33	17.33	64.42	2.69	4.08	0.00	0.00
2022.	8.	23.	1.	15.	0.00	0.00	0.00	0.00	0.00	17.33	17.33	65.25	2.27	3.99	0.00	0.00
2022.	8.	23.	1.	30.	0.00	0.00	0.00	0.00	0.00	17.38	17.38	65.79	1.96	3.90	0.00	0.00
2022.	8.	23.	1.	45.	0.00	0.00	0.00	0.00	0.00	17.07	17.07	67.37	1.86	3.72	0.00	0.00
2022.	8.	23.	2.	0.	0.00	0.00	0.00	0.00	0.00	16.84	16.84	68.62	1.91	3.41	0.00	0.00
2022.	8.	23.	2.	15.	0.00	0.00	0.00	0.00	0.00	16.80	16.80	69.05	1.92	3.21	0.00	0.00
2022.	8.	23.	2.	30.	0.00	0.00	0.00	0.00	0.00	16.76	16.76	69.52	1.90	3.05	0.00	0.00
2022.	8.	23.	2.	45.	0.00	0.00	0.00	0.00	0.00	16.71	16.71	69.96	1.89	2.86	0.00	0.00
2022.	8.	23.	3.	0.	0.00	0.00	0.00	0.00	0.00	16.68	16.68	70.33	1.88	2.67	0.00	0.00
2022.	8.	23.	3.	15.	0.00	0.00	0.00	0.00	0.00	16.61	16.61	70.86	1.87	2.45	0.00	0.00
2022.	8.	23.	3.	30.	0.00	0.00	0.00	0.00	0.00	16.49	16.49	71.56	1.87	2.24	0.00	0.00
2022.	8.	23.	3.	45.	0.00	0.00	0.00	0.00	0.00	16.41	16.41	72.14	1.90	2.09	0.00	0.00
2022.	8.	23.	4.	0.	0.00	0.00	0.00	0.00	0.00	16.45	16.45	72.17	1.90	2.03	0.00	0.00
2022.	8.	23.	4.	15.	0.00	0.00	0.00	0.00	0.00	16.49	16.49	72.23	1.87	2.08	0.00	0.00
2022.	8.	23.	4.	30.	0.00	0.00	0.00	0.00	0.00	16.45	16.45	72.55	1.83	2.21	0.00	0.00
2022.	8.	23.	4.	45.	0.00	0.00	0.00	0.00	0.00	16.36	16.36	73.08	1.80	2.43	0.00	0.00
2022.	8.	23.	5.	0.	0.00	0.00	0.00	0.00	0.00	16.22	16.22	73.77	1.80	2.73	0.00	0.00
2022.	8.	23.	5.	15.	22.10	81.63	0.00	0.00	0.00	16.19	16.19	74.95	1.78	3.06	0.00	0.00
2022.	8.	23.	5.	30.	22.10	81.63	0.00	0.00	0.00	16.28	16.28	75.34	1.81	3.38	0.00	0.00
2022.	8.	23.	5.	45.	88.27	202.09	0.00	0.00	0.00	16.60	16.60	75.53	1.76	3.61	0.00	0.00
2022.	8.	23.	6.	0.	102.99	225.65	0.00	0.00	0.00	17.02	17.02	75.12	1.68	3.76	0.00	0.00
2022.	8.	23.	6.	15.	150.70	297.73	0.00	0.00	0.00	17.41	17.41	74.92	1.55	3.84	0.00	0.00
2022.	8.	23.	6.	30.	184.43	346.40	0.00	0.00	0.00	17.94	17.94	73.64	1.47	3.91	0.00	0.00
2022.	8.	23.	6.	45.	217.60	393.52	0.00	0.00	0.00	18.50	18.50	72.44	1.28	3.87	0.00	0.00
2022.	8.	23.	7.	0.	250.26	439.28	0.00	0.00	0.00	19.23	19.23	70.35	1.22	3.68	0.00	0.00
2022.	8.	23.	7.	15.	303.16	507.67	0.00	0.00	0.00	20.04	20.04	66.86	1.39	3.17	0.00	0.00
2022.	8.	23.	7.	30.	339.95	552.75	0.00	0.00	0.00	20.67	20.67	65.03	1.16	2.75	0.00	0.00
2022.	8.	23.	7.	45.	375.27	595.82	0.00	0.00	0.00	21.38	21.38	63.13	1.01	2.50	0.00	0.00
2022.	8.	23.	8.	0.	409.30	637.12	0.00	0.00	0.00	22.15	22.15	59.55	1.30	2.19	0.00	0.00
2022.	8.	23.	8.	15.	459.17	697.17	0.00	0.00	0.00	22.80	22.80	57.39	1.18	1.74	0.00	0.00
2022.	8.	23.	8.	30.	490.59	735.58	0.00	0.00	0.00	23.42	23.42	55.37	1.14	1.74	0.00	0.00
2022.	8.	23.	8.	45.	520.81	771.65	0.00	0.00	0.00	23.94	23.94	53.01	1.37	1.90	0.00	0.00
2022.	8.	23.	9.	0.	549.98	805.68	0.00	0.00	0.00	24.45	24.45	51.56	1.30	1.77	0.00	0.00
2022.	8.	23.	9.	15.	590.00	853.31	0.00	0.00	0.00	24.81	24.81	50.24	1.40	1.86	0.00	0.00
2022.	8.	23.	9.	30.	614.56	882.43	0.00	0.00	0.00	25.07	25.07	49.00	1.59	2.06	0.00	0.00
2022.	8.	23.	9.	45.	636.83	909.05	0.00	0.00	0.00	25.49	25.49	47.82	1.70	2.22	0.00	0.00
2022.	8.	23.	10.	0.	657.08	933.49	0.00	0.00	0.00	25.84	25.84	46.90	1.99	2.61	0.00	0.00
2022.	8.	23.	10.	15.	684.01	965.44	0.00	0.00	0.00	25.97	25.97	46.41	2.43	3.18	0.00	0.00
2022.	8.	23.	10.	30.	699.34	983.29	0.00	0.00	0.00	25.98	25.98	46.19	2.71	3.59	0.00	0.00
2022.	8.	23.	10.	45.	713.17	998.65	0.00	0.00	0.00	25.98	25.98	46.05	2.72	3.64	0.00	0.00
2022.	8.	23.	11.	0.	725.69	1011.83	0.00	0.00	0.00	25.94	25.94	46.03	2.47	3.29	0.00	0.00
2022.	8.	23.	11.	15.	737.56	1025.92	0.00	0.00	0.00	25.79	25.79	46.24	2.02	2.61	0.00	0.00
2022.	8.	23.	11.	30.	742.39	1031.28	0.00	0.00	0.00	25.73	25.73	46.26	1.54	1.88	0.00	0.00
2022.	8.	23.	11.	45.	742.61	1034.33	0.00	0.00	0.00	25.89	25.89	45.97	1.17	1.32	0.00	0.00
2022.	8.	23.	12.	0.	738.78	1035.36	0.00	0.00	0.01	26.16	26.16	45.62	0.76	0.82	0.00	0.00
2022.	8.	23.	12.	15.	737.94	1030.64	0.00	0.00	0.00	26.57	26.57	44.96	0.75	1.01	0.00	0.00
2022.	8.	23.	12.	30.	731.46	1023.15	0.00	0.00	0.00	27.11	27.11	43.83	1.68	2.27	0.00	0.00
2022.	8.	23.	12.	45.	724.15	1013.68	0.00	0.00	0.00	27.52	27.52	42.75	2.57	3.66	0.00	0.00
2022.	8.	23.	13.	0.	716.11	1002.48	0.00	0.00	0.00	27.50	27.50	42.29	2.94	4.25	0.00	0.00
2022.	8.	23.	13.	15.	696.48	979.27	0.00	0.00	0.00	27.17	27.17	42.44	2.62	3.68	0.00	0.00
2022.	8.	23.	13.	30.	677.63	959.43	0.00	0.00	0.00	26.80	26.80	42.77	1.92	2.64	0.00	0.00
2022.	8.	23.	13.	45.	659.50	938.09	0.00	0.00	0.00	26.54	26.54	43.06	1.18	1.55	0.00	0.00
2022.	8.	23.	14.	0.	641.99	915.43	0.00	0.00	0.00	26.52	26.52	43.11	0.60	0.78	0.00	0.00
2022.	8.	23.	14.	15.	605.86	875.30	0.00	0.00	0.00	26.68	26.68	42.86	0.48	0.63	0.00	0.00
2022.	8.	23.	14.	30.	565.79	844.48	0.00	0.00	0.03	26.93	26.93	42.45	0.65	0.85	0.00	0.00
2022.	8.	23.	14.	45.	533.52	812.72	0.00	0.00	0.04	27.20	27.20	42.16	0.92	1.15	0.00	0.00
2022.	8.	23.	15.	0.	508.08	780.15	0.00	0.00	0.04	27.42	27.42	41.87	1.18	1.43	0.00	0.00
2022.	8.	23.	15.	15.	479.24	725.84	0.00	0.00	0.00	27.47	27.47	41.89	1.36	1.63	0.00	0.00
2022.	8.	23.	15.	30.	446.14	686.12	0.00	0.00	0.00	27.43	27.43	41.96	1.36	1.63	0.00	0.00
2022.	8.	23.	15.	45.	412.70	646.11	0.00	0.00	0.00	27.48	27.48	41.93	1.43	1.76	0.00	0.00
2022.	8.	23.	16.	0.	378.96	605.84	0.00	0.00	0.00	27.62	27.62	41.96	1.79	2.42	0.00	0.00
2022.	8.	23.	16.	15.	324.63	541.06	0.00	0.00	0.00	27.62	27.62	42.47	2.24	3.30	0.00	0.00
2022.	8.	23.	16.	30.	284.95	495.16	0.05	0.00	0.02	27.39	27.39	43.34	2.49	3.83	0.00	0.00
2022.	8.	23.	16.	45.	250.44	449.62	0.11	0.00	0.02	27.04	27.04	44.20	2.38	3.68	0.00	0.00
2022.	8.	23.	17.	0.	220.46	404.39	0.18	0.00	0.00	26.75	26.75	44.86	1.95	2.96	0.00	0.00
2022.	8.	23.	17.	15.	168.25	333.55	0.39	0.00	0.00	26.53	26.53	45.57	1.47	2.16	0.00	0.00
2022.	8.	23.	17.	30.	131.94	284.60	0.71	0.00	0.00	26.32	26.32	46.66	1.16	1.66	0.00	0.00
2022.	8.	23.	17.	45.	93.28	236.63	0.90	0.00	0.11	26.11	26.11	49.57	1.04	1.49	0.00	0.00
2022.	8.	23.	18.	0.	52.56	189.54	1.00	0.00	0.32	26.34	26.34	47.39	0.86	1.40	0.00	0.00
2022.	8.	23.	18.	15.	16.85	117.46	1.00	0.00	0.65	26.30	26.30	47.41	0.85	1.40	0.00	0.00
2022.	8.	23.	18.	30.	16.85	117.46	1.00	0.00	0.65	26.27	26.27	48.04	1.32	1.98	0.00	0.00
2022.	8.	23.	18.	45.	1.05	7.04	1.00	0.00	0.02	26.06	26.06	48.53	1.99	2.92	0.00	0.00
2022.	8.	23.	19.	0.	0.00	0.00	1.00	0.00	0.00	25.17	25.17	50.76	2.13	3.67	0.00	0.00
2022.	8.	23.	19.	15.	0.00	0.00	1.00	0.00	0.00	24.48	24.48	52.83	2.15	4.01	0.00	0.00
2022.	8.	23.	19.	30.	0.00	0.00	1.00	0.00	0.00	24.16	24.16	53.85	2.15	3.85	0.00	0.00
2022.	8.	23.	19.	45.	0.00	0.00	1.00	0.00	0.00	24.06	24.06	54.20	2.06	3.41	0.00	0.00
2022.	8.	23.	20.	0.	0.00	0.00	1.00	0.00	0.00	24.07	24.07	54.17	1.96	3.00	0.00	0.00
2022.	8.	23.	20.	15.	0.00	0.00	1.00	0.00	0.00	24.05	24.05	54.21	1.88	2.74	0.00	0.00
2022.	8.	23.	20.	30.	0.00	0.00	1.00	0.00	0.00	24.06	24.06	54.13	1.73	2.56	0.00	0.00
2022.	8.	23.	20.	45.	0.00	0.00	1.00	0.00	0.00	23.99	23.99	54.31	1.46	2.32	0.00	0.00
2022.	8.	23.	21.	0.	0.00	0.00	1.00	0.00	0.00	23.90	23.90	54.53	1.08	1.98	0.00	0.00
2022.	8.	23.	21.	15.	0.00	0.00	0.00	0.00	0.00	23.66	23.66	55.18	0.91	1.62	0.00	0.00
2022.	8.	23.	21.	30.	0.00	0.00	0.00	0.00	0.00	23.19	23.19	56.57	1.23	1.37	0.00	0.00
2022.	8.	23.	21.	45.	0.00	0.00	0.00	0.00	0.00	22.65	22.65	58.18	1.58	1.39	0.00	0.00
2022.	8.	23.	22.	0.	0.00	0.00	0.00	0.00	0.00	22.31	22.31	59.20	1.61	1.45	0.00	0.00
2022.	8.	23.	22.	15.	0.00	0.00	0.00	0.00	0.00	22.08	22.08	59.97	1.37	1.43	0.00	0.00
2022.	8.	23.	22.	30.	0.00	0.00	0.00	0.00	0.00	21.76	21.76	61.04	1.24	1.42	0.00	0.00
2022.	8.	23.	22.	45.	0.00	0.00	0.00	0.00	0.00	21.68	21.68	61.25	1.24	1.48	0.00	0.00
2022.	8.	23.	23.	0.	0.00	0.00	0.00	0.00	0.00	21.82	21.82	60.78	1.20	1.59	0.00	0.00
2022.	8.	23.	23.	15.	0.00	0.00	0.00	0.00	0.00	21.52	21.52	61.76	1.17	1.69	0.00	0.00
2022.	8.	23.	23.	30.	0.00	0.00	0.00	0.00	0.00	21.13	21.13	63.12	1.03	1.77	0.00	0.00
2022.	8.	23.	23.	45.	0.00	0.00	0.00	0.00	0.00	20.96	20.96	63.71	0.94	1.81	0.00	0.00
2022.	8.	24.	0.	0.	0.00	0.00	0.00	0.00	0.00	20.73	20.73	64.49	1.06	1.79	0.00	0.00
2022.	8.	24.	0.	15.	0.00	0.00	0.00	0.00	0.00	20.63	20.63	64.80	1.29	1.74	0.00	0.00
2022.	8.	24.	0.	30.	0.00	0.00	0.00	0.00	0.00	20.47	20.47	65.21	1.55	1.74	0.00	0.00
2022.	8.	24.	0.	45.	0.00	0.00	0.00	0.00	0.00	20.24	20.24	65.94	1.75	1.78	0.00	0.00
2022.	8.	24.	1.	0.	0.00	0.00	0.00	0.00	0.00	20.02	20.02	66.62	1.79	1.82	0.00	0.00
2022.	8.	24.	1.	15.	0.00	0.00	0.00	0.00	0.00	19.84	19.84	67.21	1.75	1.80	0.00	0.00
2022.	8.	24.	1.	30.	0.00	0.00	0.00	0.00	0.00	19.78	19.78	67.28	1.69	1.72	0.00	0.00
