YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	2.	19.	0.	15.	0.00	0.00	0.00	0.00	0.07	3.99	3.99	75.17	7.27	13.43	0.00	0.00
2022.	2.	19.	0.	30.	0.00	0.00	0.00	0.00	0.70	4.01	4.01	75.01	7.18	13.24	0.00	0.00
2022.	2.	19.	0.	45.	0.00	0.00	0.00	0.00	1.00	4.07	4.07	74.89	7.14	13.10	0.00	0.00
2022.	2.	19.	1.	0.	0.00	0.00	0.00	0.00	1.00	4.04	4.04	75.35	7.09	13.01	0.00	0.00
2022.	2.	19.	1.	15.	0.00	0.00	0.00	0.00	1.00	4.02	4.02	75.97	7.02	12.89	0.00	0.00
2022.	2.	19.	1.	30.	0.00	0.00	0.00	0.00	1.00	4.01	4.01	76.37	7.11	13.01	0.00	0.00
2022.	2.	19.	1.	45.	0.00	0.00	0.00	0.00	1.00	3.98	3.98	75.81	7.16	13.09	0.00	0.00
2022.	2.	19.	2.	0.	0.00	0.00	0.00	0.00	1.00	3.92	3.92	74.50	7.15	13.06	0.00	0.00
2022.	2.	19.	2.	15.	0.00	0.00	0.00	0.00	1.00	3.85	3.85	73.83	7.06	12.87	0.00	0.00
2022.	2.	19.	2.	30.	0.00	0.00	0.00	0.00	1.00	3.80	3.80	73.74	7.08	12.87	0.00	0.00
2022.	2.	19.	2.	45.	0.00	0.00	0.00	0.00	1.00	3.76	3.76	73.81	7.05	12.81	0.00	0.00
2022.	2.	19.	3.	0.	0.00	0.00	0.00	0.00	1.00	3.72	3.72	73.94	6.96	12.66	0.00	0.00
2022.	2.	19.	3.	15.	0.00	0.00	0.00	0.00	0.72	3.64	3.64	73.93	6.87	12.51	0.00	0.00
2022.	2.	19.	3.	30.	0.00	0.00	0.00	0.00	0.72	3.56	3.56	73.76	6.84	12.49	0.00	0.00
2022.	2.	19.	3.	45.	0.00	0.00	0.00	0.00	0.72	3.48	3.48	73.45	6.85	12.49	0.00	0.00
2022.	2.	19.	4.	0.	0.00	0.00	0.00	0.00	0.72	3.39	3.39	73.53	6.76	12.33	0.00	0.00
2022.	2.	19.	4.	15.	0.00	0.00	0.00	0.00	1.00	3.35	3.35	73.74	6.52	11.86	0.00	0.00
2022.	2.	19.	4.	30.	0.00	0.00	0.00	0.00	1.00	3.32	3.32	74.54	6.26	11.32	0.00	0.00
2022.	2.	19.	4.	45.	0.00	0.00	0.00	0.00	1.00	3.27	3.27	75.27	6.02	10.89	0.00	0.00
2022.	2.	19.	5.	0.	0.00	0.00	0.00	0.00	1.00	3.24	3.24	75.13	5.95	10.74	0.00	0.00
2022.	2.	19.	5.	15.	0.00	0.00	0.00	0.00	0.26	3.12	3.12	74.71	6.02	10.91	0.00	0.00
2022.	2.	19.	5.	30.	0.00	0.00	0.00	0.00	0.26	3.08	3.08	73.77	6.10	11.11	0.00	0.00
2022.	2.	19.	5.	45.	0.00	0.00	0.00	0.00	0.26	3.14	3.14	73.12	6.18	11.26	0.00	0.00
2022.	2.	19.	6.	0.	0.00	0.00	0.00	0.00	0.26	3.19	3.19	73.06	6.12	11.16	0.00	0.00
2022.	2.	19.	6.	15.	0.00	0.00	0.00	0.00	0.03	3.17	3.17	73.21	5.94	10.87	0.00	0.00
2022.	2.	19.	6.	30.	0.00	0.00	0.00	0.00	0.03	3.11	3.11	73.54	5.61	10.35	0.00	0.00
2022.	2.	19.	6.	45.	0.00	0.00	0.00	0.00	0.03	3.07	3.07	73.79	5.30	9.81	0.00	0.00
2022.	2.	19.	7.	0.	0.00	0.00	0.00	0.00	0.03	3.05	3.05	74.39	5.04	9.35	0.00	0.00
2022.	2.	19.	7.	15.	54.38	139.72	0.00	0.00	0.00	3.06	3.06	76.13	4.91	9.09	0.00	0.00
2022.	2.	19.	7.	30.	54.38	139.72	0.00	0.00	0.00	3.09	3.09	77.00	4.89	9.03	0.00	0.00
2022.	2.	19.	7.	45.	125.43	251.05	0.00	0.00	0.01	3.21	3.21	77.38	4.91	9.03	0.00	0.00
2022.	2.	19.	8.	0.	139.81	271.77	0.00	0.00	0.00	3.36	3.36	77.18	4.93	8.98	0.00	0.00
2022.	2.	19.	8.	15.	183.39	332.49	0.00	0.00	0.00	3.53	3.53	76.97	4.93	8.93	0.00	0.00
2022.	2.	19.	8.	30.	214.01	371.06	0.00	0.00	0.00	3.72	3.72	76.84	4.91	8.86	0.00	0.00
2022.	2.	19.	8.	45.	243.23	407.13	0.00	0.00	0.01	3.93	3.93	76.77	4.91	8.80	0.00	0.00
2022.	2.	19.	9.	0.	271.22	441.03	0.00	0.00	0.00	4.15	4.15	76.74	4.90	8.74	0.00	0.00
2022.	2.	19.	9.	15.	310.90	488.01	0.00	0.00	0.00	4.35	4.35	76.75	4.90	8.71	0.00	0.00
2022.	2.	19.	9.	30.	332.38	516.40	0.00	0.00	0.01	4.53	4.53	76.81	4.91	8.71	0.00	0.00
2022.	2.	19.	9.	45.	354.08	542.17	0.00	0.00	0.01	4.70	4.70	76.81	4.96	8.79	0.00	0.00
2022.	2.	19.	10.	0.	375.99	565.63	0.00	0.00	0.00	4.84	4.84	76.67	5.08	8.98	0.00	0.00
2022.	2.	19.	10.	15.	402.68	595.68	0.00	0.00	0.00	4.96	4.96	76.17	5.18	9.15	0.00	0.00
2022.	2.	19.	10.	30.	416.66	611.96	0.00	0.00	0.00	5.08	5.08	75.46	5.16	9.12	0.00	0.00
2022.	2.	19.	10.	45.	428.45	625.66	0.00	0.00	0.00	5.24	5.24	74.81	5.08	8.97	0.00	0.00
2022.	2.	19.	11.	0.	438.31	637.10	0.00	0.00	0.00	5.42	5.42	74.34	5.07	8.92	0.00	0.00
2022.	2.	19.	11.	15.	393.80	648.16	0.00	0.00	0.19	5.57	5.57	73.57	5.12	8.98	0.00	0.00
2022.	2.	19.	11.	30.	403.23	651.23	0.00	0.00	0.17	5.73	5.73	72.48	5.12	8.97	0.00	0.00
2022.	2.	19.	11.	45.	422.03	651.93	0.00	0.00	0.10	5.90	5.90	72.26	5.01	8.80	0.00	0.00
2022.	2.	19.	12.	0.	449.01	650.56	0.00	0.00	0.00	6.02	6.02	74.21	5.07	8.90	0.00	0.00
2022.	2.	19.	12.	15.	440.80	641.88	0.00	0.00	0.00	6.13	6.13	74.26	5.11	8.98	0.00	0.00
2022.	2.	19.	12.	30.	431.99	631.52	0.00	0.00	0.00	6.26	6.26	73.64	5.20	9.18	0.00	0.00
2022.	2.	19.	12.	45.	421.06	619.17	0.00	0.00	0.00	6.37	6.37	73.51	5.36	9.50	0.00	0.00
2022.	2.	19.	13.	0.	408.28	605.09	0.00	0.00	0.00	6.44	6.44	73.42	5.51	9.80	0.00	0.00
2022.	2.	19.	13.	15.	382.91	577.26	0.00	0.00	0.00	6.46	6.46	73.30	5.55	9.89	0.00	0.00
2022.	2.	19.	13.	30.	283.40	554.18	0.00	0.00	0.34	6.41	6.41	73.61	5.63	10.01	0.00	0.00
2022.	2.	19.	13.	45.	265.76	529.62	0.00	0.00	0.32	6.34	6.34	73.36	5.77	10.29	0.00	0.00
2022.	2.	19.	14.	0.	319.77	503.79	0.01	0.00	0.00	6.45	6.45	72.70	5.81	10.40	0.00	0.00
2022.	2.	19.	14.	15.	280.25	458.70	0.00	0.00	0.01	6.47	6.47	71.90	6.04	10.82	0.00	0.00
2022.	2.	19.	14.	30.	234.57	424.48	0.00	0.00	0.11	6.44	6.44	70.92	6.24	11.26	0.00	0.00
2022.	2.	19.	14.	45.	186.40	389.39	0.00	0.00	0.27	6.33	6.33	71.19	6.28	11.42	0.00	0.00
2022.	2.	19.	15.	0.	136.06	353.56	0.00	0.00	0.47	6.20	6.20	71.67	6.28	11.45	0.00	0.00
2022.	2.	19.	15.	15.	57.56	294.30	0.00	0.00	0.95	6.08	6.08	72.24	6.35	11.59	0.00	0.00
2022.	2.	19.	15.	30.	41.01	251.25	0.00	0.00	0.98	5.98	5.98	72.84	6.32	11.60	0.00	0.00
2022.	2.	19.	15.	45.	31.02	208.03	0.00	0.00	0.96	5.94	5.94	72.84	6.18	11.38	0.00	0.00
2022.	2.	19.	16.	0.	26.77	164.65	0.01	0.00	0.88	5.90	5.90	73.42	6.08	11.21	0.00	0.00
2022.	2.	19.	16.	15.	8.73	95.24	0.01	0.00	1.00	5.82	5.82	74.33	6.08	11.20	0.00	0.00
2022.	2.	19.	16.	30.	8.73	95.24	0.01	0.00	1.00	5.70	5.70	74.78	6.22	11.49	0.00	0.00
2022.	2.	19.	16.	45.	0.00	0.00	0.00	0.00	0.01	5.39	5.39	75.27	6.37	11.86	0.00	0.00
2022.	2.	19.	17.	0.	0.00	0.00	0.00	0.00	0.00	5.12	5.12	75.71	6.39	12.05	0.00	0.00
2022.	2.	19.	17.	15.	0.00	0.00	0.00	0.00	0.08	5.02	5.02	75.64	6.52	12.35	0.00	0.00
2022.	2.	19.	17.	30.	0.00	0.00	0.00	0.00	0.08	5.08	5.08	74.94	6.95	13.09	0.00	0.00
2022.	2.	19.	17.	45.	0.00	0.00	0.00	0.00	0.08	5.11	5.11	74.89	7.12	13.42	0.00	0.00
2022.	2.	19.	18.	0.	0.00	0.00	0.00	0.00	0.08	5.05	5.05	75.95	7.14	13.43	0.00	0.00
2022.	2.	19.	18.	15.	0.00	0.00	0.00	0.00	0.12	4.97	4.97	77.55	7.11	13.35	0.00	0.00
2022.	2.	19.	18.	30.	0.00	0.00	0.00	0.00	0.12	4.89	4.89	79.42	6.98	13.07	0.00	0.00
