YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	12.	13.	0.	15.	0.00	0.00	0.00	0.00	0.00	-6.26	-6.26	95.60	1.96	7.47	0.00	9.14
2022.	12.	13.	0.	30.	0.00	0.00	0.00	0.00	0.00	-6.01	-6.01	94.62	2.18	7.76	0.00	9.13
2022.	12.	13.	0.	45.	0.00	0.00	0.00	0.00	0.00	-5.76	-5.76	93.88	2.36	7.81	0.00	9.11
2022.	12.	13.	1.	0.	0.00	0.00	0.00	0.00	0.00	-5.62	-5.62	93.37	2.50	7.75	0.00	9.08
2022.	12.	13.	1.	15.	0.00	0.00	0.00	0.00	0.00	-5.51	-5.51	93.00	2.62	7.73	0.00	9.05
2022.	12.	13.	1.	30.	0.00	0.00	0.00	0.00	0.00	-5.39	-5.39	92.63	2.72	7.69	0.00	9.01
2022.	12.	13.	1.	45.	0.00	0.00	0.00	0.00	0.00	-5.32	-5.32	92.55	2.75	7.64	0.00	8.98
2022.	12.	13.	2.	0.	0.00	0.00	0.00	0.00	0.00	-5.27	-5.27	92.52	2.74	7.55	0.00	8.94
2022.	12.	13.	2.	15.	0.00	0.00	0.00	0.00	0.00	-5.25	-5.25	92.49	2.63	7.34	0.00	8.90
2022.	12.	13.	2.	30.	0.00	0.00	0.00	0.00	0.00	-5.25	-5.25	92.69	2.43	7.07	0.00	8.88
2022.	12.	13.	2.	45.	0.00	0.00	0.00	0.00	0.00	-5.28	-5.28	93.06	2.23	6.80	0.00	8.85
2022.	12.	13.	3.	0.	0.00	0.00	0.00	0.00	0.00	-5.38	-5.38	93.54	2.01	6.47	0.00	8.84
2022.	12.	13.	3.	15.	0.00	0.00	0.00	0.00	0.00	-5.58	-5.58	94.31	1.84	6.29	0.00	8.83
2022.	12.	13.	3.	30.	0.00	0.00	0.00	0.00	0.00	-5.86	-5.86	95.09	1.71	6.06	0.00	8.83
2022.	12.	13.	3.	45.	0.00	0.00	0.00	0.00	0.00	-6.05	-6.05	95.83	1.72	5.75	0.00	8.83
2022.	12.	13.	4.	0.	0.00	0.00	0.00	0.00	0.00	-6.00	-6.00	95.62	1.81	5.38	0.00	8.83
2022.	12.	13.	4.	15.	0.00	0.00	0.00	0.00	0.00	-6.15	-6.15	96.42	1.99	5.01	0.00	8.83
2022.	12.	13.	4.	30.	0.00	0.00	0.00	0.00	0.00	-6.31	-6.31	97.44	2.03	4.95	0.00	8.83
2022.	12.	13.	4.	45.	0.00	0.00	0.00	0.00	0.00	-6.30	-6.30	97.45	1.94	5.18	0.00	8.83
2022.	12.	13.	5.	0.	0.00	0.00	0.00	0.00	0.00	-6.15	-6.15	96.26	1.80	5.50	0.00	8.83
2022.	12.	13.	5.	15.	0.00	0.00	0.00	0.00	0.00	-5.62	-5.62	91.06	2.25	5.50	0.00	8.83
2022.	12.	13.	5.	30.	0.00	0.00	0.00	0.00	0.00	-5.92	-5.92	92.52	1.95	5.53	0.00	8.83
2022.	12.	13.	5.	45.	0.00	0.00	0.00	0.00	0.00	-6.08	-6.08	92.42	1.85	5.51	0.00	8.83
2022.	12.	13.	6.	0.	0.00	0.00	0.00	0.00	0.00	-5.98	-5.98	91.93	1.85	5.53	0.00	8.83
2022.	12.	13.	6.	15.	0.00	0.00	0.00	0.00	0.00	-6.04	-6.04	92.26	1.78	5.54	0.00	8.83
2022.	12.	13.	6.	30.	0.00	0.00	0.00	0.00	0.00	-6.19	-6.19	93.26	1.68	5.61	0.00	8.83
2022.	12.	13.	6.	45.	0.00	0.00	0.00	0.00	0.00	-6.38	-6.38	94.49	1.50	5.74	0.00	8.83
2022.	12.	13.	7.	0.	0.00	0.00	0.00	0.00	0.00	-6.39	-6.39	94.69	1.35	5.87	0.00	8.83
2022.	12.	13.	7.	15.	0.00	0.00	0.00	0.00	0.00	-6.31	-6.31	94.17	1.32	5.95	0.00	8.83
2022.	12.	13.	7.	30.	0.00	0.00	0.00	0.00	0.00	-6.18	-6.18	92.69	1.52	5.89	0.00	8.83
2022.	12.	13.	7.	45.	0.00	0.00	0.00	0.00	0.00	-5.99	-5.99	90.42	1.88	5.74	0.00	8.83
2022.	12.	13.	8.	0.	0.00	0.00	0.00	0.00	0.00	-5.94	-5.94	89.65	1.91	5.68	0.00	8.83
2022.	12.	13.	8.	15.	6.77	34.60	0.00	0.00	0.00	-5.83	-5.83	88.90	1.87	5.69	0.00	8.84
2022.	12.	13.	8.	30.	6.77	34.60	0.00	0.00	0.00	-5.68	-5.68	87.86	1.94	5.77	0.00	8.84
2022.	12.	13.	8.	45.	26.38	73.19	0.00	0.00	0.00	-5.56	-5.56	86.78	2.19	5.86	0.00	8.84
2022.	12.	13.	9.	0.	63.14	145.55	0.00	0.00	0.00	-5.53	-5.53	88.14	2.02	5.85	0.00	8.82
2022.	12.	13.	9.	15.	94.98	194.71	0.00	0.00	0.00	-5.09	-5.09	86.46	2.12	5.67	0.00	8.78
2022.	12.	13.	9.	30.	115.78	225.01	0.00	0.00	0.00	-4.82	-4.82	85.94	2.16	5.49	0.00	8.73
2022.	12.	13.	9.	45.	135.23	252.85	0.00	0.00	0.00	-4.59	-4.59	85.91	2.13	5.36	0.00	8.68
