YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	6.	19.	0.	15.	0.00	0.00	0.02	0.00	0.00	21.00	21.00	93.39	2.58	1.26	0.00	0.00
2022.	6.	19.	0.	30.	0.00	0.00	0.01	0.00	0.00	21.00	21.00	93.58	2.50	0.79	0.00	0.00
2022.	6.	19.	0.	45.	0.00	0.00	0.00	0.00	0.00	20.85	20.85	95.11	2.34	1.84	0.00	0.00
2022.	6.	19.	1.	0.	0.00	0.00	0.00	0.00	0.00	20.62	20.62	97.65	2.37	3.11	0.00	0.00
2022.	6.	19.	1.	15.	0.00	0.00	0.00	0.00	0.00	20.62	20.62	98.28	2.34	3.84	0.00	0.00
2022.	6.	19.	1.	30.	0.00	0.00	0.00	0.00	0.00	20.50	20.50	98.39	2.39	4.03	0.00	0.00
2022.	6.	19.	1.	45.	0.00	0.00	0.00	0.00	0.00	20.24	20.24	97.96	2.30	3.83	0.00	0.00
2022.	6.	19.	2.	0.	0.00	0.00	0.00	0.00	0.00	19.91	19.91	97.13	2.43	4.17	0.00	0.00
2022.	6.	19.	2.	15.	0.00	0.00	0.00	0.00	0.01	19.53	19.53	96.45	2.45	4.44	0.00	0.00
2022.	6.	19.	2.	30.	0.00	0.00	0.00	0.00	0.01	19.14	19.14	95.86	2.59	4.63	0.00	0.00
2022.	6.	19.	2.	45.	0.00	0.00	0.00	0.00	0.01	18.65	18.65	95.82	2.82	5.34	0.00	0.00
2022.	6.	19.	3.	0.	0.00	0.00	0.00	0.00	0.01	18.19	18.19	95.72	3.11	5.88	0.00	0.00
2022.	6.	19.	3.	15.	0.00	0.00	0.00	0.00	0.04	17.66	17.66	96.10	3.39	6.15	0.00	0.00
2022.	6.	19.	3.	30.	0.00	0.00	0.00	0.00	0.04	16.94	16.94	97.21	3.62	6.37	0.00	0.00
2022.	6.	19.	3.	45.	0.00	0.00	0.00	0.00	0.04	16.22	16.22	97.94	3.67	6.48	0.00	0.00
2022.	6.	19.	4.	0.	0.00	0.00	0.00	0.00	0.04	15.67	15.67	98.05	3.59	6.38	0.00	0.00
2022.	6.	19.	4.	15.	21.97	89.65	0.09	0.00	0.18	15.28	15.28	97.92	3.30	5.82	0.00	0.00
2022.	6.	19.	4.	30.	21.97	89.65	0.09	0.00	0.18	14.98	14.98	97.71	2.89	5.07	0.00	0.00
2022.	6.	19.	4.	45.	63.27	195.06	0.20	0.00	0.33	14.83	14.83	97.44	2.52	4.39	0.00	0.00
2022.	6.	19.	5.	0.	71.66	216.13	0.23	0.00	0.33	14.76	14.76	96.87	2.27	3.96	0.00	0.00
2022.	6.	19.	5.	15.	83.86	281.76	0.26	0.00	0.56	14.71	14.71	96.39	2.21	3.83	0.00	0.00
2022.	6.	19.	5.	30.	91.86	327.15	0.29	0.00	0.66	14.70	14.70	95.78	2.38	4.04	0.00	0.00
2022.	6.	19.	5.	45.	118.22	371.63	0.33	0.00	0.63	14.80	14.80	94.73	2.63	4.54	0.00	0.00
2022.	6.	19.	6.	0.	160.63	415.33	0.37	0.00	0.47	14.96	14.96	93.27	2.87	4.98	0.00	0.00
2022.	6.	19.	6.	15.	239.53	482.24	0.52	0.00	0.18	15.11	15.11	91.65	2.89	4.99	0.00	0.00
2022.	6.	19.	6.	30.	288.78	527.46	0.61	0.00	0.06	15.29	15.29	90.03	2.80	4.80	0.00	0.00
2022.	6.	19.	6.	45.	329.78	571.25	0.64	0.00	0.00	15.56	15.56	88.52	2.84	4.83	0.00	0.00
2022.	6.	19.	7.	0.	363.56	613.79	0.62	0.00	0.00	15.83	15.83	87.19	3.02	5.10	0.00	0.00
2022.	6.	19.	7.	15.	415.74	677.42	0.58	0.00	0.00	15.99	15.99	86.03	3.16	5.28	0.00	0.00
2022.	6.	19.	7.	30.	450.61	719.39	0.51	0.00	0.02	15.98	15.98	84.92	3.21	5.28	0.00	0.00
2022.	6.	19.	7.	45.	489.88	759.50	0.39	0.00	0.02	15.84	15.84	83.79	3.17	5.16	0.00	0.00
2022.	6.	19.	8.	0.	532.99	797.99	0.24	0.00	0.00	15.83	15.83	81.99	3.08	4.96	0.00	0.00
2022.	6.	19.	8.	15.	586.72	854.00	0.06	0.00	0.00	15.99	15.99	79.81	2.97	4.72	0.00	0.00
2022.	6.	19.	8.	30.	615.09	889.86	0.04	0.00	0.01	16.27	16.27	77.58	2.86	4.47	0.00	0.00
2022.	6.	19.	8.	45.	602.88	923.56	0.06	0.00	0.10	16.56	16.56	75.82	2.81	4.34	0.00	0.00
2022.	6.	19.	9.	0.	555.17	955.37	0.11	0.00	0.27	16.69	16.69	75.16	2.80	4.33	0.00	0.00
2022.	6.	19.	9.	15.	473.39	999.96	0.26	0.00	0.52	16.77	16.77	75.09	2.77	4.29	0.00	0.00
2022.	6.	19.	9.	30.	540.11	1027.26	0.40	0.00	0.41	17.01	17.01	74.66	2.67	4.14	0.00	0.00
2022.	6.	19.	9.	45.	614.02	1052.25	0.49	0.00	0.28	17.48	17.48	73.22	2.64	4.06	0.00	0.00
2022.	6.	19.	10.	0.	694.21	1075.22	0.54	0.00	0.12	18.10	18.10	71.16	2.69	4.08	0.00	0.00
2022.	6.	19.	10.	15.	761.00	1105.33	0.49	0.02	0.00	18.81	18.81	68.99	2.74	4.11	0.00	0.00
2022.	6.	19.	10.	30.	756.87	1122.22	0.48	0.12	0.00	19.61	19.61	66.60	2.86	4.28	0.00	0.00
2022.	6.	19.	10.	45.	761.42	1136.80	0.43	0.24	0.00	20.29	20.29	64.50	3.12	4.69	0.00	0.00
2022.	6.	19.	11.	0.	773.56	1149.36	0.35	0.36	0.00	20.60	20.60	63.46	3.34	5.05	0.00	0.00
2022.	6.	19.	11.	15.	825.27	1162.94	0.08	0.21	0.00	20.61	20.61	63.42	3.36	5.03	0.00	0.00
2022.	6.	19.	11.	30.	841.34	1168.27	0.03	0.12	0.00	20.58	20.58	63.52	3.33	4.95	0.00	0.00
2022.	6.	19.	11.	45.	849.98	1171.44	0.00	0.08	0.00	20.62	20.62	63.16	3.46	5.18	0.00	0.00
2022.	6.	19.	12.	0.	852.12	1172.73	0.00	0.06	0.00	20.66	20.66	62.47	3.62	5.49	0.00	0.00
2022.	6.	19.	12.	15.	855.82	1168.87	0.00	0.00	0.00	20.75	20.75	61.27	3.73	5.69	0.00	0.00
2022.	6.	19.	12.	30.	850.33	1162.27	0.00	0.00	0.00	20.87	20.87	60.31	3.80	5.82	0.00	0.00
2022.	6.	19.	12.	45.	843.07	1153.82	0.00	0.00	0.00	21.00	21.00	59.92	3.85	5.91	0.00	0.00
2022.	6.	19.	13.	0.	834.27	1143.76	0.00	0.00	0.00	21.11	21.11	59.81	3.91	6.04	0.00	0.00
2022.	6.	19.	13.	15.	815.86	1122.71	0.00	0.00	0.00	21.17	21.17	59.80	3.97	6.20	0.00	0.00
2022.	6.	19.	13.	30.	800.11	1104.63	0.00	0.00	0.00	21.17	21.17	59.96	3.99	6.30	0.00	0.00
2022.	6.	19.	13.	45.	781.71	1085.13	0.00	0.00	0.00	21.16	21.16	60.15	3.99	6.31	0.00	0.00
2022.	6.	19.	14.	0.	760.99	1064.41	0.00	0.00	0.01	21.20	21.20	60.17	3.98	6.30	0.00	0.00
2022.	6.	19.	14.	15.	733.47	1027.60	0.00	0.00	0.00	21.28	21.28	59.94	3.97	6.28	0.00	0.00
2022.	6.	19.	14.	30.	709.16	999.28	0.00	0.00	0.00	21.37	21.37	59.47	3.92	6.21	0.00	0.00
2022.	6.	19.	14.	45.	674.22	970.07	0.00	0.00	0.02	21.47	21.47	58.91	3.86	6.11	0.00	0.00
2022.	6.	19.	15.	0.	629.97	940.08	0.00	0.00	0.06	21.47	21.47	58.88	3.86	6.11	0.00	0.00
2022.	6.	19.	15.	15.	451.78	890.04	0.00	0.00	0.35	21.26	21.26	59.74	3.88	6.19	0.00	0.00
2022.	6.	19.	15.	30.	341.66	853.39	0.00	0.00	0.55	21.01	21.01	60.85	3.80	6.17	0.00	0.00
2022.	6.	19.	15.	45.	264.37	816.45	0.00	0.00	0.69	20.84	20.84	61.58	3.78	6.24	0.00	0.00
2022.	6.	19.	16.	0.	215.80	779.26	0.00	0.00	0.78	20.68	20.68	62.17	3.96	6.62	0.00	0.00
