YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	10.	20.	0.	15.	0.00	0.00	1.00	0.00	0.00	13.59	13.59	78.21	4.71	8.71	0.00	0.00
2022.	10.	20.	0.	30.	0.00	0.00	1.00	0.00	0.00	13.50	13.50	78.66	4.69	8.71	0.00	0.00
2022.	10.	20.	0.	45.	0.00	0.00	1.00	0.00	0.00	13.43	13.43	79.04	4.77	8.90	0.00	0.00
2022.	10.	20.	1.	0.	0.00	0.00	1.00	0.00	0.00	13.39	13.39	79.28	4.89	9.15	0.00	0.00
2022.	10.	20.	1.	15.	0.00	0.00	1.00	0.00	0.00	13.38	13.38	79.38	4.99	9.36	0.00	0.00
2022.	10.	20.	1.	30.	0.00	0.00	1.00	0.00	0.00	13.36	13.36	79.56	5.03	9.48	0.00	0.00
2022.	10.	20.	1.	45.	0.00	0.00	1.00	0.00	0.00	13.30	13.30	79.89	5.02	9.49	0.00	0.00
2022.	10.	20.	2.	0.	0.00	0.00	1.00	0.00	0.00	13.23	13.23	80.36	4.94	9.36	0.00	0.00
2022.	10.	20.	2.	15.	0.00	0.00	1.00	0.00	0.00	13.17	13.17	80.81	4.79	9.10	0.00	0.00
2022.	10.	20.	2.	30.	0.00	0.00	1.00	0.00	0.00	13.13	13.13	81.15	4.66	8.86	0.00	0.00
2022.	10.	20.	2.	45.	0.00	0.00	1.00	0.00	0.00	13.13	13.13	81.37	4.59	8.75	0.00	0.00
2022.	10.	20.	3.	0.	0.00	0.00	1.00	0.00	0.00	13.14	13.14	81.46	4.57	8.70	0.00	0.00
2022.	10.	20.	3.	15.	0.00	0.00	1.00	0.00	0.00	13.14	13.14	81.56	4.56	8.69	0.00	0.00
2022.	10.	20.	3.	30.	0.00	0.00	1.00	0.00	0.00	13.15	13.15	81.51	4.59	8.74	0.00	0.00
2022.	10.	20.	3.	45.	0.00	0.00	1.00	0.00	0.00	13.19	13.19	81.37	4.61	8.79	0.00	0.00
2022.	10.	20.	4.	0.	0.00	0.00	1.00	0.00	0.00	13.23	13.23	81.24	4.59	8.77	0.00	0.00
2022.	10.	20.	4.	15.	0.00	0.00	1.00	0.00	0.00	13.27	13.27	81.18	4.65	8.85	0.00	0.00
2022.	10.	20.	4.	30.	0.00	0.00	1.00	0.00	0.00	13.43	13.43	80.56	4.77	9.09	0.00	0.00
2022.	10.	20.	4.	45.	0.00	0.00	1.00	0.00	0.00	13.72	13.72	79.21	4.91	9.44	0.00	0.00
2022.	10.	20.	5.	0.	0.00	0.00	1.00	0.00	0.00	13.98	13.98	77.90	5.10	9.80	0.00	0.00
2022.	10.	20.	5.	15.	0.00	0.00	1.00	0.00	0.00	14.11	14.11	77.27	5.18	9.94	0.00	0.00
2022.	10.	20.	5.	30.	0.00	0.00	1.00	0.00	0.00	14.02	14.02	77.70	5.16	9.88	0.00	0.00
2022.	10.	20.	5.	45.	0.00	0.00	1.00	0.00	0.00	13.83	13.83	78.70	5.12	9.81	0.00	0.00
2022.	10.	20.	6.	0.	0.00	0.00	1.00	0.00	0.00	13.66	13.66	79.63	5.06	9.73	0.00	0.00
2022.	10.	20.	6.	15.	0.00	0.00	1.00	0.00	0.00	13.53	13.53	80.38	4.93	9.51	0.00	0.00
2022.	10.	20.	6.	30.	0.00	0.00	1.00	0.00	0.00	13.48	13.48	80.88	4.76	9.17	0.00	0.00
2022.	10.	20.	6.	45.	0.00	0.00	1.00	0.00	0.00	13.59	13.59	80.69	4.66	8.97	0.00	0.00
2022.	10.	20.	7.	0.	0.00	0.00	1.00	0.00	0.00	13.79	13.79	79.80	4.61	8.90	0.00	0.00
2022.	10.	20.	7.	15.	10.97	60.59	1.00	0.00	0.00	13.96	13.96	79.23	4.59	8.89	0.00	0.00
2022.	10.	20.	7.	30.	25.90	108.80	1.00	0.00	0.00	14.04	14.04	79.08	4.67	8.98	0.00	0.00
2022.	10.	20.	7.	45.	44.49	165.78	1.00	0.00	0.00	14.15	14.15	79.18	4.64	8.93	0.00	0.00
2022.	10.	20.	8.	0.	44.49	165.78	1.00	0.00	0.00	14.30	14.30	79.13	4.49	8.69	0.00	0.00
2022.	10.	20.	8.	15.	75.54	264.94	1.00	0.01	0.00	14.49	14.49	79.64	4.25	8.29	0.00	0.00
2022.	10.	20.	8.	30.	85.93	307.16	1.00	0.08	0.00	14.65	14.65	80.20	3.97	7.79	0.00	0.00
2022.	10.	20.	8.	45.	95.35	347.05	1.00	0.21	0.00	14.85	14.85	80.55	3.62	7.20	0.00	0.00
2022.	10.	20.	9.	0.	103.92	384.88	1.00	0.38	0.00	15.02	15.02	80.90	3.30	6.60	0.00	0.00
2022.	10.	20.	9.	15.	68.46	438.55	1.00	1.00	0.01	15.08	15.08	81.38	3.07	6.15	0.00	0.00
2022.	10.	20.	9.	30.	47.68	471.90	1.00	1.00	0.01	15.07	15.07	81.95	2.89	5.79	0.00	0.00
2022.	10.	20.	9.	45.	36.96	502.69	1.00	1.00	0.02	15.02	15.02	82.55	2.63	5.30	0.00	0.00
2022.	10.	20.	10.	0.	35.07	531.25	1.00	1.00	0.02	14.93	14.93	83.42	2.49	5.09	0.00	0.00
2022.	10.	20.	10.	15.	31.61	569.57	1.00	1.00	0.69	14.70	14.70	84.52	3.10	6.03	0.00	0.00
2022.	10.	20.	10.	30.	30.02	591.78	1.00	1.00	0.29	14.40	14.40	86.74	3.53	6.29	0.00	0.00
2022.	10.	20.	10.	45.	31.65	611.39	0.83	1.00	0.07	14.56	14.56	86.48	3.11	6.06	0.00	0.00
