YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	10.	6.	0.	15.	0.00	0.00	0.00	0.00	0.00	14.19	14.19	73.08	4.14	7.41	0.00	0.00
2022.	10.	6.	0.	30.	0.00	0.00	0.00	0.00	0.87	14.15	14.15	71.83	4.32	7.77	0.00	0.00
2022.	10.	6.	0.	45.	0.00	0.00	0.00	0.00	0.87	14.16	14.16	69.34	4.07	7.23	0.00	0.00
2022.	10.	6.	1.	0.	0.00	0.00	0.00	0.00	0.00	13.93	13.93	69.71	4.15	7.41	0.00	0.00
2022.	10.	6.	1.	15.	0.00	0.00	0.00	0.00	0.00	13.71	13.71	70.31	4.04	7.29	0.00	0.00
2022.	10.	6.	1.	30.	0.00	0.00	0.00	0.00	0.00	13.57	13.57	71.26	4.09	7.39	0.00	0.00
2022.	10.	6.	1.	45.	0.00	0.00	0.00	0.00	0.00	13.39	13.39	70.89	3.72	6.81	0.00	0.00
2022.	10.	6.	2.	0.	0.00	0.00	0.00	0.00	0.00	13.25	13.25	70.25	3.49	6.50	0.00	0.00
2022.	10.	6.	2.	15.	0.00	0.00	0.00	0.00	0.00	13.12	13.12	71.69	3.39	6.34	0.00	0.00
2022.	10.	6.	2.	30.	0.00	0.00	0.00	0.00	0.00	12.98	12.98	73.26	3.25	6.11	0.00	0.00
2022.	10.	6.	2.	45.	0.00	0.00	0.00	0.00	0.00	12.83	12.83	74.62	3.10	5.88	0.00	0.00
2022.	10.	6.	3.	0.	0.00	0.00	0.00	0.00	0.00	12.66	12.66	75.88	2.94	5.67	0.00	0.00
2022.	10.	6.	3.	15.	0.00	0.00	0.00	0.00	0.01	12.50	12.50	77.01	2.82	5.48	0.00	0.00
2022.	10.	6.	3.	30.	0.00	0.00	0.00	0.00	0.01	12.34	12.34	78.02	2.72	5.37	0.00	0.00
2022.	10.	6.	3.	45.	0.00	0.00	0.00	0.00	0.01	12.20	12.20	78.91	2.65	5.29	0.00	0.00
2022.	10.	6.	4.	0.	0.00	0.00	0.00	0.00	0.01	12.07	12.07	79.68	2.63	5.27	0.00	0.00
