YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	6.	16.	0.	15.	0.00	0.00	0.00	0.00	0.00	18.36	18.36	65.36	2.19	5.01	0.00	0.00
2022.	6.	16.	0.	30.	0.00	0.00	0.00	0.00	0.00	18.09	18.09	66.64	2.07	4.90	0.00	0.00
2022.	6.	16.	0.	45.	0.00	0.00	0.00	0.00	0.00	17.74	17.74	67.99	1.90	4.76	0.00	0.00
2022.	6.	16.	1.	0.	0.00	0.00	0.00	0.00	0.00	17.27	17.27	69.78	1.82	4.58	0.00	0.00
2022.	6.	16.	1.	15.	0.00	0.00	0.00	0.00	0.00	16.97	16.97	70.87	1.86	4.53	0.00	0.00
2022.	6.	16.	1.	30.	0.00	0.00	0.00	0.00	0.00	16.91	16.91	70.90	1.96	4.71	0.00	0.00
2022.	6.	16.	1.	45.	0.00	0.00	0.00	0.00	0.00	17.00	17.00	70.28	2.08	5.13	0.00	0.00
2022.	6.	16.	2.	0.	0.00	0.00	0.00	0.00	0.00	17.04	17.04	69.81	2.23	5.42	0.00	0.00
2022.	6.	16.	2.	15.	0.00	0.00	0.00	0.00	0.00	17.08	17.08	69.55	2.43	5.24	0.00	0.00
2022.	6.	16.	2.	30.	0.00	0.00	0.00	0.00	0.00	16.92	16.92	70.33	2.32	4.83	0.00	0.00
2022.	6.	16.	2.	45.	0.00	0.00	0.00	0.00	0.00	16.63	16.63	71.55	2.09	4.61	0.00	0.00
2022.	6.	16.	3.	0.	0.00	0.00	0.00	0.00	0.00	16.31	16.31	72.87	1.95	4.39	0.00	0.00
2022.	6.	16.	3.	15.	0.00	0.00	0.00	0.00	0.00	15.85	15.85	74.86	1.86	4.35	0.00	0.00
2022.	6.	16.	3.	30.	0.00	0.00	0.00	0.00	0.00	15.42	15.42	76.78	1.87	4.35	0.00	0.00
2022.	6.	16.	3.	45.	0.00	0.00	0.00	0.00	0.00	15.11	15.11	78.11	1.87	4.36	0.00	0.00
2022.	6.	16.	4.	0.	7.43	41.02	0.00	0.00	0.00	15.01	15.01	78.75	1.79	4.40	0.00	0.00
2022.	6.	16.	4.	15.	30.58	96.95	0.00	0.00	0.00	14.94	14.94	79.39	1.82	4.50	0.00	0.00
2022.	6.	16.	4.	30.	35.90	107.72	0.00	0.00	0.00	15.07	15.07	78.76	1.84	4.56	0.00	0.00
2022.	6.	16.	4.	45.	77.47	180.35	0.00	0.00	0.00	15.18	15.18	78.53	1.90	4.43	0.00	0.00
2022.	6.	16.	5.	0.	108.48	228.98	0.00	0.00	0.00	15.40	15.40	77.58	1.85	4.16	0.00	0.00
2022.	6.	16.	5.	15.	141.70	278.35	0.00	0.00	0.00	15.62	15.62	76.43	1.80	3.81	0.00	0.00
2022.	6.	16.	5.	30.	176.39	328.26	0.00	0.00	0.00	15.92	15.92	74.71	1.87	3.47	0.00	0.00
2022.	6.	16.	5.	45.	212.00	378.48	0.00	0.00	0.00	16.21	16.21	73.24	1.89	3.38	0.00	0.00
2022.	6.	16.	6.	0.	248.54	428.82	0.00	0.00	0.00	16.52	16.52	71.55	2.01	3.41	0.00	0.00
2022.	6.	16.	6.	15.	289.57	479.04	0.00	0.00	0.00	16.89	16.89	69.80	2.09	3.52	0.00	0.00
2022.	6.	16.	6.	30.	331.28	528.94	0.00	0.00	0.00	17.23	17.23	68.07	2.15	3.52	0.00	0.00
2022.	6.	16.	6.	45.	373.27	578.30	0.00	0.00	0.00	17.51	17.51	66.79	2.08	3.28	0.00	0.00
2022.	6.	16.	7.	0.	415.01	626.92	0.00	0.00	0.00	17.79	17.79	65.75	1.93	3.01	0.00	0.00
2022.	6.	16.	7.	15.	455.98	674.57	0.00	0.00	0.00	18.10	18.10	64.61	1.83	2.77	0.00	0.00
2022.	6.	16.	7.	30.	495.94	721.06	0.00	0.00	0.00	18.47	18.47	63.31	1.78	2.62	0.00	0.00
2022.	6.	16.	7.	45.	534.73	766.20	0.00	0.00	0.00	18.91	18.91	61.66	1.78	2.57	0.00	0.00
2022.	6.	16.	8.	0.	572.20	809.77	0.00	0.00	0.00	19.37	19.37	60.35	1.85	2.65	0.00	0.00
2022.	6.	16.	8.	15.	608.21	851.61	0.00	0.00	0.00	19.87	19.87	58.80	2.01	2.91	0.00	0.00
2022.	6.	16.	8.	30.	642.62	891.53	0.00	0.00	0.00	20.20	20.20	57.12	2.36	3.41	0.00	0.00
2022.	6.	16.	8.	45.	675.30	929.35	0.00	0.00	0.00	20.48	20.48	55.76	2.51	3.64	0.00	0.00
2022.	6.	16.	9.	0.	706.13	964.93	0.00	0.00	0.00	20.81	20.81	54.88	2.50	3.63	0.00	0.00
2022.	6.	16.	9.	15.	734.97	998.10	0.00	0.00	0.00	21.14	21.14	54.07	2.49	3.61	0.00	0.00
2022.	6.	16.	9.	30.	761.62	1028.72	0.00	0.00	0.00	21.47	21.47	53.23	2.52	3.65	0.00	0.00
2022.	6.	16.	9.	45.	785.88	1056.66	0.00	0.00	0.00	21.80	21.80	52.25	2.60	3.76	0.00	0.00
2022.	6.	16.	10.	0.	807.83	1081.80	0.00	0.00	0.00	22.07	22.07	50.86	2.75	3.97	0.00	0.00
