YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	1.	4.	0.	15.	0.00	0.00	1.00	1.00	1.00	6.92	6.92	99.96	1.84	4.00	0.32	0.00
2022.	1.	4.	0.	30.	0.00	0.00	1.00	1.00	1.00	6.90	6.90	99.98	1.93	4.22	0.39	0.00
2022.	1.	4.	0.	45.	0.00	0.00	1.00	1.00	1.00	6.85	6.85	99.99	1.36	3.89	0.41	0.00
2022.	1.	4.	1.	0.	0.00	0.00	1.00	1.00	1.00	6.85	6.85	99.93	1.70	4.11	0.36	0.00
2022.	1.	4.	1.	15.	0.00	0.00	1.00	1.00	1.00	6.89	6.89	99.47	2.20	4.48	0.37	0.00
2022.	1.	4.	1.	30.	0.00	0.00	1.00	1.00	1.00	6.84	6.84	99.44	2.17	4.64	0.32	0.00
2022.	1.	4.	1.	45.	0.00	0.00	1.00	1.00	1.00	6.81	6.81	99.37	2.23	4.74	0.34	0.00
2022.	1.	4.	2.	0.	0.00	0.00	1.00	1.00	1.00	6.77	6.77	99.37	2.27	4.81	0.34	0.00
2022.	1.	4.	2.	15.	0.00	0.00	1.00	1.00	1.00	6.71	6.71	99.42	2.35	5.08	0.37	0.00
2022.	1.	4.	2.	30.	0.00	0.00	1.00	1.00	1.00	6.67	6.67	99.30	2.49	5.27	0.37	0.00
2022.	1.	4.	2.	45.	0.00	0.00	1.00	1.00	1.00	6.61	6.61	99.36	2.45	5.17	0.42	0.00
2022.	1.	4.	3.	0.	0.00	0.00	1.00	1.00	1.00	6.57	6.57	99.46	2.31	5.06	0.42	0.00
2022.	1.	4.	3.	15.	0.00	0.00	1.00	1.00	1.00	6.55	6.55	99.39	2.33	5.01	0.43	0.00
2022.	1.	4.	3.	30.	0.00	0.00	1.00	1.00	1.00	6.53	6.53	99.39	2.37	5.24	0.40	0.00
2022.	1.	4.	3.	45.	0.00	0.00	1.00	1.00	1.00	6.50	6.50	99.33	2.30	5.07	0.37	0.00
2022.	1.	4.	4.	0.	0.00	0.00	1.00	1.00	1.00	6.46	6.46	99.34	2.20	4.87	0.32	0.00
2022.	1.	4.	4.	15.	0.00	0.00	1.00	1.00	1.00	6.43	6.43	99.30	2.09	4.50	0.31	0.00
2022.	1.	4.	4.	30.	0.00	0.00	1.00	1.00	1.00	6.38	6.38	99.40	1.98	4.22	0.28	0.00
2022.	1.	4.	4.	45.	0.00	0.00	1.00	1.00	1.00	6.35	6.35	99.43	1.87	3.88	0.27	0.00
2022.	1.	4.	5.	0.	0.00	0.00	1.00	1.00	1.00	6.32	6.32	99.38	1.90	3.72	0.22	0.00
2022.	1.	4.	5.	15.	0.00	0.00	1.00	1.00	1.00	6.29	6.29	99.37	1.96	3.81	0.20	0.00
