YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	10.	5.	0.	15.	0.00	0.00	0.57	0.00	0.00	12.74	12.74	66.52	3.76	7.59	0.00	0.00
2022.	10.	5.	0.	30.	0.00	0.00	0.57	0.00	0.00	12.70	12.70	65.00	3.80	7.66	0.00	0.00
2022.	10.	5.	0.	45.	0.00	0.00	0.32	0.00	0.00	12.66	12.66	63.66	3.86	7.77	0.00	0.00
2022.	10.	5.	1.	0.	0.00	0.00	0.32	0.00	0.00	12.63	12.63	62.46	3.93	7.88	0.00	0.00
2022.	10.	5.	1.	15.	0.00	0.00	0.32	0.00	0.00	12.60	12.60	61.51	3.99	7.96	0.00	0.00
2022.	10.	5.	1.	30.	0.00	0.00	0.32	0.00	0.00	12.57	12.57	60.83	4.02	7.99	0.00	0.00
2022.	10.	5.	1.	45.	0.00	0.00	0.06	0.00	0.00	12.53	12.53	60.41	4.04	8.02	0.00	0.00
2022.	10.	5.	2.	0.	0.00	0.00	0.06	0.00	0.00	12.47	12.47	60.32	4.09	8.09	0.00	0.00
2022.	10.	5.	2.	15.	0.00	0.00	0.06	0.00	0.00	12.40	12.40	60.51	4.13	8.15	0.00	0.00
2022.	10.	5.	2.	30.	0.00	0.00	0.06	0.00	0.00	12.31	12.31	60.90	4.14	8.16	0.00	0.00
2022.	10.	5.	2.	45.	0.00	0.00	0.06	0.00	0.00	12.22	12.22	61.48	4.14	8.16	0.00	0.00
2022.	10.	5.	3.	0.	0.00	0.00	0.06	0.00	0.00	12.12	12.12	62.22	4.14	8.14	0.00	0.00
2022.	10.	5.	3.	15.	0.00	0.00	0.00	0.00	0.00	12.00	12.00	63.19	4.14	8.13	0.00	0.00
2022.	10.	5.	3.	30.	0.00	0.00	0.00	0.00	0.00	11.87	11.87	64.30	4.13	8.12	0.00	0.00
2022.	10.	5.	3.	45.	0.00	0.00	0.00	0.00	0.00	11.74	11.74	65.46	4.14	8.13	0.00	0.00
2022.	10.	5.	4.	0.	0.00	0.00	0.00	0.00	0.00	11.62	11.62	66.61	4.15	8.14	0.00	0.00
2022.	10.	5.	4.	15.	0.00	0.00	0.00	0.00	0.00	11.51	11.51	67.72	4.18	8.19	0.00	0.00
2022.	10.	5.	4.	30.	0.00	0.00	0.00	0.00	0.00	11.41	11.41	68.74	4.22	8.26	0.00	0.00
