;Energy_5
2022-01-03 14:15:00+02:00;-1.4783769943219511
2022-01-03 14:30:00+02:00;-1.4783502236276327
2022-01-03 14:45:00+02:00;-1.478323452933314
2022-01-03 15:00:00+02:00;-1.4782966822389956
2022-01-03 15:15:00+02:00;-1.4782797744320575
2022-01-03 15:30:00+02:00;-1.4782713205285885
2022-01-03 15:45:00+02:00;-1.478253003737739
2022-01-03 16:00:00+02:00;-1.478236095930801
2022-01-03 16:15:00+02:00;-1.478227642027332
2022-01-03 16:30:00+02:00;-1.478227642027332
2022-01-03 16:45:00+02:00;-1.478227642027332
2022-01-03 17:00:00+02:00;-1.478227642027332
2022-01-03 17:15:00+02:00;-1.478227642027332
2022-01-03 17:30:00+02:00;-1.478227642027332
2022-01-04 08:15:00+02:00;-1.478227642027332
2022-01-04 08:30:00+02:00;-1.478227642027332
2022-01-04 08:45:00+02:00;-1.478227642027332
2022-01-04 09:00:00+02:00;-1.478227642027332
2022-01-04 09:15:00+02:00;-1.478227642027332
2022-01-04 09:30:00+02:00;-1.4782177791399513
2022-01-04 09:45:00+02:00;-1.4782093252364825
2022-01-04 10:00:00+02:00;-1.478199462349102
2022-01-04 10:15:00+02:00;-1.4781825545421639
2022-01-04 10:30:00+02:00;-1.4781741006386948
2022-01-04 10:45:00+02:00;-1.4781557838478454
2022-01-04 11:00:00+02:00;-1.4781388760409073
2022-01-04 11:15:00+02:00;-1.4781205592500577
2022-01-04 11:30:00+02:00;-1.4780951975396508
2022-01-04 11:45:00+02:00;-1.478051519038394
2022-01-04 12:00:00+02:00;-1.4780247483440756
2022-01-04 12:15:00+02:00;-1.4779796608589075
2022-01-04 12:30:00+02:00;-1.477927528454182
2022-01-04 12:45:00+02:00;-1.4778669421459874
2022-01-04 13:00:00+02:00;-1.4778134007573502
2022-01-04 13:15:00+02:00;-1.4777781761595625
2022-01-04 13:30:00+02:00;-1.477742951561775
2022-01-04 13:45:00+02:00;-1.4776809562696689
2022-01-04 14:00:00+02:00;-1.4776358687845008
2022-01-04 14:15:00+02:00;-1.477610507074094
2022-01-04 14:30:00+02:00;-1.4775851453636868
2022-01-04 14:45:00+02:00;-1.4775569656854568
2022-01-04 15:00:00+02:00;-1.4775231500715806
2022-01-04 15:15:00+02:00;-1.4775048332807312
2022-01-04 15:30:00+02:00;-1.4774879254737932
2022-01-04 15:45:00+02:00;-1.4774879254737932
2022-01-04 16:00:00+02:00;-1.4774780625864126
2022-01-04 16:15:00+02:00;-1.4774696086829435
2022-01-04 16:30:00+02:00;-1.4774696086829435
2022-01-04 16:45:00+02:00;-1.4774696086829435
2022-01-04 17:00:00+02:00;-1.4774696086829435
2022-01-04 17:15:00+02:00;-1.4774696086829435
2022-01-04 17:30:00+02:00;-1.4774696086829435
2022-01-04 19:00:00+02:00;-1.4774696086829435
2022-01-04 20:15:00+02:00;-1.4774696086829435
2022-01-05 08:00:00+02:00;-1.4774696086829435
2022-01-05 08:15:00+02:00;-1.4774696086829435
2022-01-05 08:30:00+02:00;-1.4774696086829435
2022-01-05 08:45:00+02:00;-1.4774696086829435
2022-01-05 09:00:00+02:00;-1.4774696086829435
2022-01-05 09:15:00+02:00;-1.4774696086829435
2022-01-05 09:30:00+02:00;-1.4774611547794745
2022-01-05 09:45:00+02:00;-1.4774512918920941
2022-01-05 10:00:00+02:00;-1.4774442469725366
2022-01-05 10:15:00+02:00;-1.477425930181687
2022-01-05 10:30:00+02:00;-1.4774160672943064
2022-01-05 10:45:00+02:00;-1.4773907055838995
2022-01-05 11:00:00+02:00;-1.4773723887930499
2022-01-05 11:15:00+02:00;-1.4773470270826428
2022-01-05 11:30:00+02:00;-1.4773287102917934
2022-01-05 11:45:00+02:00;-1.4772850317905368
2022-01-05 12:00:00+02:00;-1.4772230364984307
2022-01-05 12:15:00+02:00;-1.4771878119006432
2022-01-05 12:30:00+02:00;-1.4770905920107493
2022-01-05 12:45:00+02:00;-1.476887698327493
2022-01-05 13:00:00+02:00;-1.4768186581158294
2022-01-05 13:15:00+02:00;-1.4766946675316173
2022-01-05 13:30:00+02:00;-1.4765889937382546
2022-01-05 13:45:00+02:00;-1.4765016367357413
2022-01-05 14:00:00+02:00;-1.4764579582344848
2022-01-05 14:15:00+02:00;-1.4764213246527857
2022-01-05 14:30:00+02:00;-1.4764045049073422
2022-01-05 14:45:00+02:00;-1.4763608264060855
2022-01-05 15:00:00+02:00;-1.476317147904829
2022-01-05 15:15:00+02:00;-1.4762452897253424
2022-01-05 15:30:00+02:00;-1.4761762495136788
2022-01-05 15:45:00+02:00;-1.476095937430723
2022-01-05 16:00:00+02:00;-1.4760790296237851
2022-01-05 16:15:00+02:00;-1.4760691667364045
2022-01-05 16:30:00+02:00;-1.4760607128329355
2022-01-05 16:45:00+02:00;-1.4760607128329355
2022-01-05 17:00:00+02:00;-1.4760607128329355
2022-01-05 17:15:00+02:00;-1.4760607128329355
2022-01-05 17:30:00+02:00;-1.4760607128329355
2022-01-05 17:45:00+02:00;-1.4760607128329355
2022-01-06 06:30:00+02:00;-1.4760607128329355
2022-01-06 07:45:00+02:00;-1.4760607128329355
2022-01-06 08:00:00+02:00;-1.4760607128329355
2022-01-06 08:15:00+02:00;-1.4760607128329355
2022-01-06 08:30:00+02:00;-1.4760607128329355
2022-01-06 08:45:00+02:00;-1.4760607128329355
2022-01-06 09:00:00+02:00;-1.4760607128329355
2022-01-06 09:15:00+02:00;-1.4760522589294665
2022-01-06 09:30:00+02:00;-1.4760353511225286
2022-01-06 09:45:00+02:00;-1.476025488235148
2022-01-06 10:00:00+02:00;-1.4759818097338915
2022-01-06 10:15:00+02:00;-1.4759113605383163
2022-01-06 10:30:00+02:00;-1.475832457439272
2022-01-06 10:45:00+02:00;-1.475716920758529
2022-01-06 11:00:00+02:00;-1.4755844762708477
2022-01-06 11:15:00+02:00;-1.4754351239762284
2022-01-06 11:30:00+02:00;-1.4753646747806533
2022-01-06 11:45:00+02:00;-1.475302679488547
2022-01-06 12:00:00+02:00;-1.4752336392768834
2022-01-06 12:15:00+02:00;-1.4750828779983527
